vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
idw3,30,3.88,54,Excellent confectionery items ,Syed,
o97p,3,3.0,2,tub cake ta photo and detail a chocolates er chilo but amk normal tub bread cake deya hoise,Putul,
skds,30,3.73,44,the pasta was so so,Naofah,
jqxv,30,1.29,3,Barcode Bangla/ online food sob somoi fresh sent korben r food er poriman tik moton diben online customer der demand onujai food sent korben Karon amra free food nei na.foods hygiene maintenance koren,Mohammed,
w2m5,30,2.48,23,I ordered for the first time & my experience was bitter. Chonar Dal was rotten & stinky.  The food items of this restaurant are deadly. ,Jahedul,
q021,23,3.41,34,Regular meat box atoo choto keno,Joshua,
qguz,24,4.77,58,Hygienic and Tasty food. Value for money.,Shihab,
b9r6,8,3.2,10,not the worst but dont order the chicken its small but tasted good ! the sauce alone  tastes bitter but somehow when you eat it with food tastes better liking everything so people can know what i orde,Mahim,
bk46,30,2.45,23,yogurt is not good.... bashi Chilo... bhalo lagey ni,Umme,
rilq,3,3.0,4,"লোক ঠকানোর ব্যবসা করেন। দেখাইছেন এক জিনিস, দিছেন আরেক জিনিস। নাচোসগুলো পুরো পুড়ে গিয়েছিল। আর ফ্রাইড রাইস বানাইছেন সেদ্ধ চাল দিয়ে। এত বাজে টেস্ট ছিল! আর নাগা চিকেনগুলোও কেমন যেন কালো কালো ছিল। যত্তসব!",Tajkia,
cb86,30,3.25,37,প্যাকেজিং এর কারনে অর্ডার করার ইচ্ছে করে না।,Saroju,
m8e9,30,2.4,21,meat box was bogus,Sanjeeda,
e1m5,30,2.71,21, quality and quantity totally 💯,It's,
dlms,30,2.82,30,Could be less sweeter,Taskin,
g43y,19,3.04,21,nacoz was amazing..  ammu onk pochondo korce🫶,Kai,
dpgo,1,5.0,2,very tasty and tasty,saba,
fttm,30,3.25,39,Overall quality balanced & delicious. ,Ishtiak,
titj,1,2.33,1,Jerin's Kitchen আলু ভর্তা / ডিম ভাজি/ কেউ অর্ডার করে অর্ডার করার সময় তেল ⛽ পাঠিয়ে দিয়েন।এদের বাসায় তেল নেই পানি দিয়ে কাজ চালায়,Mohammad,
v9ns,1,2.33,1,non professional ,zisun,
yi5c,23,3.0,29,very dissatisfied ,Monty,
xiih,14,2.88,14,Simple-proportionate - delicious- price appropriate- no issues.                   (FoodPanda’s Delivery dynamics delay beyond 60 minutes. Unacceptable),Beauty,
wn4z,24,2.38,18,muton vhuna den nai....ar firni o den nai...moskari paisen...ar order disi poached egg amake dichen boiled egg...aisob kemon service.... ,Raihan,
