code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
x6qs,54604,Secret Recipe (Standard) - Khulshi,Secret Recipe,Chittagong,Nasirabad,0.31,Italian|Mediterranean|Soups|Sandwiches|Pizza|Dessert|Burgers|Western|Fast Food,4.8,939,50.0,0.0,35.0,22.36137127,91.81290711,"Rahim’s Plaza,  DECPDL 05, Zakir Hossain Road, South Khulshi, Chittagong",4200,https://foodpanda.com.bd/restaurant/x6qs/secret-recipe-standard-khulshi
y10m,68823,Shumi's Hot Cake - Khulshi,Shumi's Hot Cake,Chittagong,Nasirabad,0.29,Cakes|Dessert|Fast Food,4.9,712,50.0,0.0,35.0,22.361464,91.812454,"Concord Khulshi Town Center. Shop no. 103 (Ground Floor,3 Zakir Hossain road, Khulshi Chittagong",4100,https://foodpanda.com.bd/restaurant/y10m/shumis-hot-cake-khulshi
g4f7,67794,Nowhere,Nowhere,Chittagong,Mehedibag,0.73,Western|Fast Food,2.8,42,100.0,0.0,35.0,22.3460989,91.8228352,"Beside MA Aziz Stadium, C.R.B. Rd, Chittagong, Bangladesh",4000,https://foodpanda.com.bd/restaurant/g4f7/nowhere
tncz,62318,Falafel,Falafel,Chittagong,Probortok,0.31,Turkish|Kebab|Snacks|Middle Eastern,4.8,1662,65.0,0.0,30.0,22.3563924,91.83541455,"Chatteswari Road, chawkbazar",4200,https://foodpanda.com.bd/restaurant/tncz/falafel
ztm8,77614,FULKOLI – Mehedibag,Major,Chittagong,Mehedibag,0.3,Snacks|Sweets|Dessert|Bakery,2.4,11,75.0,0.0,35.0,22.3546567,91.8252872,"9R3G+R48, Mehedibag Rd, Chattogram
Opposite of National Hospital",4000,https://foodpanda.com.bd/restaurant/ztm8/fulkoli-mehedibag
utrh,68797,Shumi's Hot Cake - Chawkbazar,Shumi's Hot Cake,Chittagong,Probortok,0.4,Dessert,4.8,215,65.0,0.0,35.0,22.356878,91.8366773,"65/1 Cheetteswary Road (Beside Golzer Tower), Chawkbazar, Chittagong",4200,https://foodpanda.com.bd/restaurant/utrh/shumis-hot-cake-chawkbazar
cjt6,77437,Kheerwala - Mehedibagh,Kheerwala,Chittagong,GEC Circle,0.42,Sweets|Dessert|Doi,4.8,66,75.0,0.0,35.0,22.35758959,91.82519274,"Mehedibagh, CDA Officers Quarter Gate,Chittagong, Chittagong, Bangladesh",4000,https://foodpanda.com.bd/restaurant/cjt6/kheerwala-mehedibagh
jwjp,77834,Banoful - Panchlaish,Banoful,Chittagong,Panchlaish,0.2,Doi|Bakery,4.9,20,50.0,0.0,35.0,22.3631138,91.834704,"21/B, Panchlaish, Chattogram",4209,https://foodpanda.com.bd/restaurant/jwjp/banoful-panchlaish-jwjp
bgca,76409,Domino’s Pizza Jamal Khan,Domino's Pizza,Chittagong,Anderkilla,0.69,Italian|Mediterranean|Pizza|Western,4.8,209,0.0,39.0,20.0,22.34554343,91.83392834,"Romna Trade Center, 16 Jamal Khan Lane, Jamalkhan Chittagong -4000",4200,https://foodpanda.com.bd/restaurant/bgca/dominos-pizza-jamal-khan
db4n,106492,Bhorta Bari - New Market,Bhorta Bari,Chittagong,New Market,0.32,Curry|Bangladeshi|Asian,4.1,68,100.0,0.0,35.0,22.3344375,91.8323125,"Machinery Market New Market Circle, Chittagong, Bangladesh",4200,https://foodpanda.com.bd/restaurant/db4n/bhorta-bari-new-market
