vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
t5en,11,3.4,17,khub e baje khub e baje 🤮🤮🤮🤮🤮,Opu,
jasu,22,3.36,33,রোস্ট প্যাকেজিং এ আরও গুরুত্ব দিতে হবে।,Farhan,
epnj,13,4.61,30,cake er Moddhe beshi cream silo ,Rafiul,
iceu,20,3.65,38,পাস্তার পরিমাণ খুবই কম ছিলো।আর চিকেন রোল নাম দিলেও সেটাই শুধু ডিম দেওয়া। খুবই বাজে কোয়ান্টিটি,Munoare,
nowm,1,3.67,1,মোমো টা ভালো ছিলো তবে ফিস সিঙ্গারের ভেতর মাছের থেকে আটা বেশি ছিল মাছ খুঁজেই পাওয়া যায় না। ,Mohammad,
bpxn,30,2.95,34,খাবারের পরিমাণ খুবই কম। শাক ভাজির পরিমাণ ৩৪ টাকা হিসেবে অতিরিক্ত কম!!,Monjurul,
qzyk,30,2.67,23,Worst 😡,Swarna,
u0y2,30,3.15,42,একদম বাজে আর লেট করে দিয়েছে অর্ডার বাজে পুরো ,Raz,
