code,name,chain,city,area,cuisines,rating,reviews,min_order,delivery_fee,delivery_time_min,lat,lng,address,post_code
csw6,Sushi House,Sushi House,Dhaka,,Sushi|Japanese|Asian,4.5,10,50.0,68.0,0.0,23.78967535,90.4243425,"G p-ka, 32/1, South shahjadpur,Dakkhinpara, Gulshan, Dhaka-1212",1212
ps12,Shimu's Home Kitchen,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,0.0,3,50.0,68.0,0.0,23.7826477,90.4302082,"House No. 3,
Road No. 6A
Moynarbagh Bou Bazar North Badda, Dhaka 1212",1212
f6py,Oshisushis,Oshisushis,Dhaka,,Sushi|Japanese|Asian,4.4,24,50.0,68.0,0.0,23.7897091,90.4243055,"G p-ka, 32/1, South shahjadpur,Dakkhinpara, Gulshan, Dhaka-1212",1212
xbj9,Royal Korean Cuisine,Royal Korean Cuisine,Dhaka,,Korean|Asian,4.2,13,50.0,68.0,0.0,23.78968376,90.42443978,"G p-ka, 32/1, South shahjadpur,Dakkhinpara, Gulshan, Dhaka-1212",1212
h3ec,Pagla Baburchi Iftar Mela Gulshan,Pagla Baburchi - Iftar Mela ,Dhaka,,Bangladeshi|Asian|Fast Food,4.8,19,50.0,68.0,35.0,23.790975,90.4175098,"House #10, Heritage, Road#109, Gulshan-2, Dhaka",1212
snro,Siam Restaurant,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,68.0,0.0,23.7864142,90.4291541,"Noakhali Doctor Bari, Satarkul Road,Munshibari Lane, In Front Of Mastan House., 1212 বাড্ডা, ঢাকা, Bangladesh",1212
vjt3,Mitsuha's Kitchen,,Dhaka,,Snacks|Rice Dishes|Beverage,0.0,0,50.0,68.0,35.0,23.7898433,90.4253051,"Uttor badda,  suvastu najar vali, Suvastu najar vali, t-6_15C2, 1212 বাড্ডা, ঢাকা, Bangladesh",1212
zjqq,Ruti Ghor,,Dhaka,,Curry|Rice Dishes,0.0,2,50.0,68.0,0.0,23.7715302,90.4260087,"LA 29, Merul Badda, Thana Road, merul badda, 1217",1217
chwo,Love Triangle,Love Triangle,Dhaka,,Snacks,4.8,30,50.0,68.0,35.0,23.7819442,90.4073988,"House, G P Ja 70/3, ( inside car garage) Gognobi road 
behind square centre
Mohakhali",1212
q3jm,Butter - The Bakery (CENTRAL),Butter The Bakery,Dhaka,,Cakes|Dessert,4.8,30,50.0,68.0,35.0,23.78192,90.4073745,"48, Bir Uttam AK Khandakar Road, House, G P Ja 70/3, Gognobi road behind square centre Mohakhali (inside car garage )",1212
e36r,BhojBangla,Bhorta Lover,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,4.5,30,50.0,68.0,0.0,23.7820921,90.40730835,"জি,পি জ,৭০/৩, গজনবী রোড পুকুরপাড় গ্যারেজ (স্কায়ার সেন্টারের পিছনে ),মহাখালী ওয়্যারলেস গেট!!",1212
n0zu,Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Dhaka,,Rice Dishes|Indian|Biryani|Doi|Asian,4.2,30,50.0,68.0,0.0,23.7905906,90.4248667,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",1212
hdyj,Furryghor Cafe,,Dhaka,,Snacks|Beverage|Cafe,4.6,3,50.0,68.0,0.0,23.7714177,90.4117208,"205, 1 Bir Uttam Mir Shawkat Sarak, Dhaka 1208",1208
qsqk,Matubber Briyani,,Dhaka,,Rice Dishes|Indian|Biryani|Dessert|Asian,4.3,19,50.0,68.0,35.0,23.791028,90.424693,"গ ১১/২, প্রগিত স্বরিন শাহজাদপুর সুভাস্ত 
নজর ভ্যালী মােকেটর ১০০ গজ উওর পােশ, 
হাজী চাঁনিবিব   রাড",1212
d3fm,Waffle Bro's,,Dhaka,,Beverage|Dessert,4.6,1,50.0,68.0,0.0,23.79183194,90.42243086,"Bayzied Road, Ground Floor, Jhilpar, Shajadpur, Near Popeyes Coffee & Food, Gulshan Lake Drive, Gulshan, Dhaka - 1212",1212
ihl7,Takeout Express,,Dhaka,,Italian|Mediterranean|Soups|Pizza|Burgers|Western,3.8,11,50.0,68.0,0.0,23.77991015,90.40648205,"G.p.cha-81/2,mohakhali,wairless gate,dhaka 1213",1212
qmef,Rannaghor,,Dhaka,,Snacks|Rice Dishes|Soups,4.2,17,50.0,68.0,0.0,23.77993375,90.40647095,"Mohakhali, wireless gate, 1212 Banani, Dhaka, Bangladesh",1212
dh21,The Cook's Corner,,Dhaka,,Snacks|Curry|Rice Dishes|Soups,4.2,10,50.0,68.0,0.0,23.77993375,90.40647095,"Gp ca 81/2 , Mohakhali, wireless gate, 1212 Banani, Dhaka, Bangladesh",1212
jhn6,AM 2 PM,,Dhaka,,Curry|Rice Dishes|Dessert|Fast Food,4.4,30,50.0,68.0,0.0,23.7800171,90.4064156,"Mohakhali, wirelessgate, 1212 Banani, Dhaka, Bangladesh",1212
byia,Foodie Bhai,,Dhaka,,Snacks|Sandwiches|Burgers|Western,3.0,4,50.0,68.0,0.0,23.7921108,90.4162819,"গুলশান পিংক সিটি শপিং কমপ্লেক্স, গুলশান এভিনিউ 15 pink city shopping complex, 1229 গুলশান ২, ঢাকা, Bangladesh",1229
t4qm,Pani Puri - Gulshan 2,,Dhaka,,Beverage|Chotpoti & Fuchka|Bangladeshi|Asian,1.0,0,50.0,68.0,0.0,23.792168,90.416489,Pinkcity shoping moll ahead side/pinkcity road.,1212
o092,Kona Cafe,Kona Cafe,Dhaka,,Beverage|Cafe|Fast Food,4.8,27,50.0,68.0,0.0,23.7906942,90.4125123,"House No 46, Rd No 41, Gulshan 2",1212
f7qi,Food Platter,,Dhaka,,Snacks|Rice Dishes|Burgers|Western,4.6,3,50.0,68.0,0.0,23.79215708,90.42231626,"Kha-1/6, Road- 106, Lake side, Shajadpur, Gulshan, Dhaka",1212
fvc8,Bhorta Bari - Gulshan,Bhorta Bari - Gulshan,Dhaka,,Bangladeshi|Asian,3.8,3,50.0,68.0,0.0,23.7797889,90.4063252,"G.P. Cha-47, Mohakhali Wireless Gate, Banani, Dhaka",1212
m5na,Pizza Lover,Pizza Lover,Dhaka,,Italian|Mediterranean|Pizza|Western|Fast Food,4.1,19,50.0,68.0,0.0,23.7802757,90.4062229,"43/6 Gazi Sikandar Vila, Wireless Gate, Mohakhali, Dhaka 1212",1212
lnad,Yummy Kitchen,,Dhaka,,Curry|Bangladeshi|Asian,0.0,0,50.0,68.0,0.0,23.77777515,90.43209865,"City: Dhaka
Area: Badda
Moddhyo Badda 5 tala
Bazar , Badda , Dhaka.",1212
pxom,Crust & Cheese,,Dhaka,,Italian|Pasta|Mediterranean|Pizza|Western,4.8,29,50.0,68.0,35.0,23.79219954,90.42316678,"Momotaj Villa, Gulshan 2, Road-7 , House- 3, Level-6A We are located at shahjadpur gulshan 2. 5 minutes walking distance from Manarat School., 1212 Gulshan 2, Dhaka, Bangladesh",1212
a6ej,The Cake Service,,Dhaka,,Cakes|Snacks,0.0,1,50.0,68.0,0.0,23.7727987,90.4296602,"House no.66  , Rd.no.12
DIT project merun badda dhaka",1212
xkh3,FryLab,,Dhaka,,Chinese|Asian,0.0,0,50.0,68.0,0.0,23.77914126,90.40587911,"Ruki Bhaban, Mohakhali Wireless Gate Gp cha 27/1, 1212 Gulshan 1, Dhaka, Bangladesh",1212
eqjc,Fuchka Club - Gulshan 2,,Dhaka,,Chotpoti & Fuchka|Bangladeshi|Asian,0.0,1,50.0,68.0,35.0,23.7920497,90.4144368,House-05 Rd 36 Gulshan2 Dhaka-1212,1212
oxgq,Smokie Patty Burger - Gulshan,Smokie Patty - Gulshan,Dhaka,,Chicken|Italian|Mediterranean|Pizza|Meat|Burgers|Western|Fast Food,4.7,30,50.0,68.0,0.0,23.7927147,90.4222002,"Kha 66/8, Lakeside, Shahjadpur, Gulsjhan-2, Dhaka-1212
close to 
Embassy of India",1212
km6c,Turn Tables,,Dhaka,,Rice Dishes|Noodles|Chinese|Asian,1.8,2,50.0,68.0,0.0,23.7927805,90.42219,"8 Marium Road , Shahjadpur ,gulshan 2 , 1212",1212
juo6,Bangali Bhojon,,Dhaka,,Curry|Bangladeshi|Asian,0.0,0,50.0,68.0,25.0,23.78063122,90.43293866,"Kamrul er bari ' hazi billa, Bangladesh, 8531 Badda, Dhaka, Bangladesh",8531
mvmw,DIET - Did I Eat That,,Dhaka,,Snacks|Fast Food,4.8,30,50.0,68.0,0.0,23.79282163,90.42214762,"House - Kha-66/8, Gulshan Lake Drive Road, Shahjadpur, Gulshan 2",1212
tmpf,Frost and Flame,,Dhaka,,Snacks|Italian|Mediterranean|Pizza|Western|Fast Food,4.6,27,50.0,68.0,0.0,23.7816116,90.4055313,JA-141 Wireless Gate Rd,1212
die6,Cheesy Dreams,,Dhaka,,Italian|Mediterranean|Pizza|Western|Fast Food,0.0,3,50.0,68.0,0.0,23.7697075,90.4120245,"Harijheel, 1st Floor, GMG Mor, 5 Bir Uttam Mir Shawkat Sarak, 1208",1208
ni9m,The Tehari Ghor - Mohakhali,The Tehari Ghor,Dhaka,,Rice Dishes|Bangladeshi|Asian,4.8,30,50.0,68.0,0.0,23.78062532,90.40529999,"House - 75/1, Rahman Mansion, Wireless Gate, Mohakhali, Gulshan",1212
nh4g,Bismillah Fuchka,,Dhaka,,Chotpoti & Fuchka|Bangladeshi|Asian|Fast Food,0.0,0,50.0,68.0,0.0,23.7772383,90.4329518,"East badda,  5tala bazar sahabuddin mor er majhamajhi, 1212 Badda, Dhaka, Bangladesh",1212
lhid,Tahmeeds Kitchen,,Dhaka,,Curry|Bangladeshi|Asian,3.6,9,50.0,68.0,35.0,23.780242,90.405003,"Wireless, School Road, 1212 Banani, Dhaka, Bangladesh",1212
bk89,Tawfees  Kitchen,,Dhaka,,Curry|Bangladeshi|Asian,1.8,3,50.0,68.0,35.0,23.7802489,90.404986,"Arif pharmacy , ga, 188/3 miabari, wireless mohakhali Dhaka 1212",1212
qs8v,Deshi Dine Hub,,Dhaka,,Curry|Bangladeshi|Asian,0.0,1,50.0,68.0,0.0,23.7824099,90.4336592,"লবিক টাওয়ার,  429 Happy House, badda, 1212 বাড্ডা, ঢাকা, Bangladesh",1212
gml3,Korean Grill,,Dhaka,,Snacks|Rice Dishes|Soups|Noodles|Korean|Asian,4.0,9,50.0,68.0,35.0,23.7935487,90.4226625,"Kh/68,Santi Society, Shajadpur, Gulshan 2,Dhaka 1212.",1212
s4jh,Thai Express,Food Village,Dhaka,,Rice Dishes|Beverage|Indian|Asian|Fast Food,4.1,13,50.0,68.0,0.0,23.7935487,90.4226625,"KH/67, Shanti Society, bashtola Shahjadpur Gulshan - 2, 1212",1212
od8l,Chinese Delight,,Dhaka,,Rice Dishes|Fast Food,4.2,6,50.0,68.0,35.0,23.7935487,90.4226625,"Kh/68,Santi Society, Shajadpur, Gulshan 2,Dhaka 1212.",1212
q24v,Chattgaiya Cuisine,,Dhaka,,Curry|Rice Dishes,0.0,2,50.0,68.0,0.0,23.79332954,90.42363237,"House - Kha-39, Shahjadpur Jame Masjid Road, Shahjadpur, Gulshan",1212
e45a,Ranna Ghor Express,,Dhaka,,Curry|Rice Dishes|Fish|Seafood|Bangladeshi|Asian,2.7,30,50.0,68.0,35.0,23.77667204,90.40535534,7 tala i p h school road Beside I P H school,1213
s7vk,Cheez - Banani,Cheez,Dhaka,,Italian|Mediterranean|Pizza|Western,4.9,30,50.0,68.0,0.0,23.79012075,90.4090568,"Navana Rowshan Sayed plaza
House -47,
Lift- 2 
Road-11
Block - H 
Banani - 1213",1213
pr6c,King of Korea,King of Korea,Dhaka,,Rice Dishes|Korean|Asian,3.2,13,50.0,68.0,0.0,23.7935947,90.4228098,"Gulshan 2,  House- 67/kha, Shahjadpur (Santi Society), Gulshan-2, Dhaka-1212.",1212
hlup,Seoul Street,Korean Bulgogi Bar,Dhaka,,Korean|Asian,4.1,4,50.0,68.0,0.0,23.7936269,90.4227081,"Kha-66 Shanti Society ( Beside of Indian Embassy & Body Shave Zone Goli, Gulshan-2 Dhaka-1212",1212
awgw,Azuki,,Dhaka,,Sushi|Rice Dishes|Japanese|Asian,3.0,1,50.0,68.0,0.0,23.7901025,90.4089721,"1st Floor, House 47, Road 11, Banani 1213 Dhaka",1213
t7sq,Cilantro Pizzeria,,Dhaka,,Italian|Beverage|Mediterranean|Pizza|Western,4.0,0,50.0,68.0,0.0,23.7893696,90.4082087,"House - 52, Road - 12/A, Block - H, Banani",1213
a50n,La Pino'S,,Dhaka,,Healthy,0.0,0,50.0,68.0,0.0,23.78652612,90.43246105,"House#11, Lane#7, 1212 Badda, Dhaka, Bangladesh",1212
idsk,Sushi Season,Sushi Season,Dhaka,,Snacks|Rice Dishes,4.2,10,50.0,68.0,0.0,23.7936705,90.42268345,"House: Kha/67, Santi Society, Gulshan- 2, Dhaka- 1212.",1212
bgat,New Cafe Bismillah Biryani House,New Cafe Bismillah Biryani House,Dhaka,,Rice Dishes|Indian|Biryani|Asian,2.4,30,50.0,68.0,0.0,23.7765824,90.4052932,"IPH School Road, Mohakhali , Dhaka",1212
dt7j,Thai Times,Thai Times,Dhaka,,Rice Dishes|Noodles|Asian|Thai,4.0,30,50.0,68.0,0.0,23.79367895,90.42270495,"House no# 69 (Opposite of Mobarak Telecom), Body Shape Zone Gali, Gulshan 2",1212
ijdn,Kimchi Season,ijdn	Kimchi Season,Dhaka,,Korean|Asian,4.4,11,50.0,68.0,0.0,23.7936852,90.4226947,"House: Kha/67, Santi Society, Gulshan- 2, Dhaka- 1212.",1212
nz09,Bowls Spot,,Dhaka,,Rice Dishes,3.8,16,50.0,68.0,0.0,23.7936866,90.42272535,"kh14,Shajadpur, Santi Society Near Moabak Telecom,Gulshan 2
1212",1212
ffx6,Al Nur Biryani House,Al Nur Biryani House,Dhaka,,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,3.3,30,50.0,68.0,0.0,23.77661,90.405251,"mohakhali 7tola iph schoole road, banani , dhaka
beaside of bmrc",1213
h69y,Chinese Foodie,Chinese Foodie,Dhaka,,Curry|Rice Dishes|Noodles|Chinese|Asian|Fast Food,3.6,12,50.0,68.0,0.0,23.7937167,90.42268615,"67/Kha, Santi Society (Beside Indian Embassy), bady shape zone er goli, Gulshan-2, Dhaka 1212",1212
pb2x,Thai Town,,Dhaka,,Curry|Rice Dishes|Chinese|Asian,3.8,26,50.0,68.0,0.0,23.7936967,90.4227778,"kh/67,shanti society,bustola gulashan-2",1212
d12c,Korean B.B.Q House,,Dhaka,,Rice Dishes|Korean|Asian,3.9,18,50.0,68.0,0.0,23.7937315,90.42273305,"kha,67 Shanti society(beside Indian high commission),Bashtala ,Gulshan2",1212
s0wg,Tastebud Banani,Tastebud,Dhaka,,Cakes|Dessert|Doi|Fast Food,4.9,30,50.0,68.0,45.0,23.7895055,90.4081581,"House No # 52,Road No # 12/a , Block -H",1213
