code,name,chain,city,area,cuisines,rating,reviews,min_order,delivery_fee,delivery_time_min,lat,lng,address,post_code
oid3,Dibbles,Dibbles Gulshan,Dhaka,,Chicken|Snacks|Meat|Burgers|Western|Fast Food,4.7,30,50.0,38.0,35.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
ewqw,Honest Bistro & Dine,,Dhaka,,Beverage|Cafe|Breakfast|Dessert|Burgers|Western|Faluda,0.0,0,50.0,61.0,35.0,23.86246345,90.39401645,HOUSE-13 road-18 sector-3 Uttara-1230,1230
tr0z,Khaddo Bilash,,Dhaka,,Snacks|Rice Dishes,4.1,26,50.0,52.0,45.0,23.8749548,90.3952232,": H#49, R#1, S#9,",1230
cf65,Two spoons,,Dhaka,,Western|Fast Food,4.7,23,50.0,38.0,30.0,23.8724054,90.3909436,"Two spoons,plot 38,Gareeb E Newaz Ave,Sector 13,uttara,Dhaka",1230
fflz,All That,,Dhaka,,Snacks|Burgers|Western|Fast Food,0.0,0,50.0,37.0,30.0,23.8672233,90.3838547,"Plot 3, Shah Makhdum Avenue, Sector 14, Uttara Dhaka-1230",1230
iy2u,Crosta Express,,Dhaka,,Snacks|Beverage|Cafe|Fast Food,4.0,15,50.0,37.0,30.0,23.8672233,90.3838547,"plot 1, shah makdum avenue, sector 14, Uttara Dhaka-1230",1230
fejm,Rice Lab - Uttara,Rice Lab - Mirpur,Dhaka,,Rice Dishes|Chinese|Asian|Fast Food,4.2,30,50.0,38.0,30.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
vudf,Tehari Ghar + (Uttara Sec 12),Tehari Ghor Plus,Dhaka,,Rice Dishes|Indian|Biryani|Asian,4.8,30,50.0,28.0,30.0,23.86928849,90.38377097,"31, Shah Makhdum Ave (12-13 More) Sector 12, Uttara, Dhaka- 1230",1230
s6ka,Cheez - Uttara,Cheez,Dhaka,,Italian|Mediterranean|Pizza|Western,4.8,30,50.0,34.0,35.0,23.8772382,90.39084735,"Gareeb-e-Nawaz Avenue, House No. 34, Sector 11, Uttara, Dhaka",1230
r3n8,BiteCraft - Uttara,,Dhaka,,Rice Dishes|Burgers|Western,4.5,17,50.0,38.0,30.0,23.86455007,90.38672435,"Sector -14, House -24, Road-09,Sector-14, Uttara., 1230 Uttara, Dhaka, Bangladesh",1230
ulta,Food Lab,,Dhaka,,Italian|Mediterranean|Pizza|Burgers|Western|Fast Food,3.5,30,50.0,28.0,55.0,23.87613218,90.38903845,"House: 22, road:17, Sector:11 Uttara Sector 11 No Park,  Uttara , 11no sector, Dahaka",.
yxgi,Uncle Bobo's - Uttara,Uncle Bobo's,Dhaka,,Fast Food,4.9,30,50.0,52.0,35.0,23.8667142,90.39411705,"House No. 54, Road No. 13, Sector No. 3, Uttara Model Town, Dhaka-1230",1230
o4qm,Waffle Up - Uttara,Waffle Up,Dhaka,,Dessert,4.9,30,50.0,38.0,25.0,23.871721,90.390698,29 Garib Newaz Avenue  Sector  13,1230
cj62,B-Baria Restaurant - Uttara,B-Baria Restaurant - Uttara,Dhaka,,Curry|Indian|Biryani|Bangladeshi|Asian,1.9,30,50.0,61.0,30.0,23.87935425,90.4014715,"Sector 8, Sujon Road, Right side of polwel carnation shopping center, abdul kadir super market, Uttara",1230
s3md,Jalapenos,Jalapenos,Dhaka,,Wraps|Snacks|Rice Dishes|Burgers|Western,4.4,30,50.0,38.0,30.0,23.8655809,90.3840992,"Sector 14, Road 23, Jatrabari Road, Pakuria, Beside Daraz Office, Dhaka, Bangladesh",1230
aszk,House of Rice,,Dhaka,,Snacks|Rice Dishes|Beverage,4.7,30,50.0,52.0,45.0,23.8652674,90.3891714,"johura market ,Plot-15/C, (1st Floor) Sector # 14, Road 05, Uttara,Dhaka 1230",1230
clml,Foodelux,,Dhaka,,Italian|Mediterranean|Pizza|Western|Bangladeshi|Asian,3.5,30,50.0,31.0,50.0,23.8761185,90.3889192,"Shop no:03, House:22, Road:17, Sector:11, Uttara, Dhaka-1230, beside Uttara Evergreen Students Hostel",1230
waua,Rice & More,Rice & More,Dhaka,,Rice Dishes|Chinese|Western|Asian|Fast Food,4.3,30,50.0,38.0,35.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
ge20,Dream Burger,Dream Burger,Dhaka,,Burgers|Western|Fast Food,4.1,30,50.0,38.0,30.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
d71c,Fries & Rice,Fries & Rice,Dhaka,,Chicken|Meat|Fast Food,4.3,30,50.0,38.0,30.0,23.86915223,90.38887361,"House- 35, FH Tower, Lift- (level 4), Road- Gausul Azam Avenue, Dhaka-1230",1230
xioq,Tehari & Khichuri Ghor,,Dhaka,,Rice Dishes|Bangladeshi|Asian,4.2,30,50.0,37.0,30.0,23.874267,90.3907017,Zam Zam Tower East Side Uttara-1230,1230
pi92,Wrap & Meat Box,Wrap & Meat Box,Dhaka,,Wraps|Snacks|Middle Eastern|Shawarma|Fast Food,4.4,30,50.0,38.0,30.0,23.86917568,90.38885766,"SH Tower, 4th Floor, House: 35, Gawsul Azam Avenue, Sector: 14, Uttara, Dhaka 1230",1230
scgo,Cafe Cino,Cafe Cino,Dhaka,,Fast Food,4.8,30,50.0,61.0,35.0,23.8633332,90.3941384,House-26 sector-3 road -18 uttara sector-3  Dhaka-1230,1230
gu4a,Allahr Dan Kacchi Ghor,,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.8,30,50.0,38.0,25.0,23.8799228,90.3919475,Sector -10/11 Road-13 Swicth gate Mosques Uttara-1230,1230
h6dp,Maa Home Delivery - Uttara,Maa Home Delivery - Uttara,Dhaka,,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,3.4,30,50.0,19.0,35.0,23.8712417,90.384845,"House-39, Road-18,Sector-13, Uttara.",1230
yeua,O Bhai Kacchi,O Bhai Kacchi,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.8,30,50.0,83.0,30.0,23.87650172,90.40622822,"Holding - 916, Hazi Bahar Uddin Market, Near Railgate, Faidabad, Sector - 8, Uttara",1230
oeq3,Shaandar Khichuri & Rice,,Dhaka,,Snacks|Curry|Rice Dishes|Bangladeshi|Asian|Khichuri,3.3,23,50.0,52.0,40.0,23.861315,90.385555,"আহলিয়া মসজিদ, আহালিয়া মসজিদের সামনে আহালিয়া মসজিদের গেটের সামনে দাঁড়াতে হবে, 1230 উত্তরা, ঢাকা, Bangladesh",1230
jee5,Daily Cup,,Dhaka,,Snacks|Italian|Pasta|Mediterranean|Western|Fast Food,4.3,11,50.0,52.0,35.0,23.8643831,90.3903533,"Sector -05, Road-01,house- 27 Connecting road between road -1 and road - 6/A, 1230 Uttara, Dhaka, Bangladesh",1230
srb1,Hot & Steamy - Bangla,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian|Khichuri,4.7,30,50.0,41.0,50.0,23.8647251,90.38266235,"House : Bagan Bari, Pakuria Main Road, Uttara - 14",1230
r7q1,Care Kitchen,,Dhaka,,Snacks|Rice Dishes,4.7,27,50.0,38.0,35.0,23.8646555,90.3865646,"House 24, Road 9, Sector 14, Uttara",1230
y6wf,Chef Kitchen,,Dhaka,,Snacks|Rice Dishes|Fast Food,4.3,30,50.0,38.0,30.0,23.8655809,90.3840992,"Sector 14, Road 23, Jatrabari Road, Pakuria, Beside Daraz Office, Dhaka, Bangladesh",1230
ymbq,Punch Monkey Lazzy Bite,,Dhaka,,Snacks|Beverage|Dessert,4.3,30,50.0,28.0,30.0,23.8692645,90.38514865,"Chefs Corner, House-81 Gausul Azam Ave, Dhaka 1230, 1230 Uttara, Dhaka, Bangladesh",1230
crd8,Crispy Corner,,Dhaka,,Curry|Rice Dishes,2.0,5,50.0,41.0,30.0,23.864707,90.3865154,"House-25, Road-09, Sector-14, Uttara -1230, Dhaka",1230
k7ax,Crustease,Crustease,Dhaka,,Snacks|Italian|Mediterranean|Pizza|Western,4.3,30,50.0,38.0,30.0,23.86540725,90.38487855,"House-6, Road-22, Sector 14. Uttara, Dhaka
near Al-Manar Adarsho Qawmi Madrasa",1230
r3gn,Seoul Spice Kitchen,,Dhaka,,Snacks|Rice Dishes|Korean|Asian,4.6,30,50.0,52.0,40.0,23.8699201,90.3943159,"Road-18/House-43/G-1 Road-18/House-43/G-1, 1230 Uttara, Dhaka, Bangladesh",1230
c972,Ledor- Uttara,Ledor,Dhaka,,Dessert|Fast Food,4.9,28,50.0,52.0,35.0,23.86716355,90.39399545,"Range KM Square, Plot 53,Rabindra Sarani, Road 18. Sector 3, Uttara, Dhaka 1230",1230
rhcp,Flavour Spot,,Dhaka,,Italian|Pasta|Mediterranean|Burgers|Western|Fast Food,3.0,10,50.0,52.0,30.0,23.86435453,90.39029945,"House 27, Sector 05,road 1 Connecting road between road -1 and road - 6/A, 1230 Uttara, Dhaka, Bangladesh",1230
dcgk,The Pizzario,,Dhaka,,Italian|Mediterranean|Pizza|Western,3.6,3,50.0,9.0,35.0,23.8758569,90.3834064,Rd:18 House: 1 Uttara 12 sector,1230
qbn3,Moti's Kitchen,,Dhaka,,Snacks|Curry,3.9,30,50.0,41.0,35.0,23.8866408,90.3881789,"House-63, Sector-10, Road-10, House-63, Sector-10, Road-10, Dhaka-1230, Bangladesh",1230
mnxb,Uttara Homemade Biriyani House,,Dhaka,,Indian|Biryani|Bangladeshi|Asian|Khichuri,1.9,30,50.0,56.0,50.0,23.8564355,90.38558875,"বাউনিয়া রোড, প্রিয়াঙ্কা রায় সিটি",1230
uq4y,Matir Hari Kitchen,,Dhaka,,,4.8,10,50.0,19.0,30.0,23.87116589,90.38477217,Sector.13 Road.18 House.41,1230
hj3u,Meat & Bhat,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,3.8,30,50.0,52.0,35.0,23.86109335,90.3888295,"মজুমদার ফাউন্ডেশন মসজিদ।, রোড-6/A সেক্টর-5, 1230 উত্তরা, ঢাকা, Bangladesh",1230
yu73,Cheese Please,,Dhaka,,Western|Fast Food,4.3,30,50.0,38.0,30.0,23.8654545,90.3849333,"House-6, Road-22, Sector 14, Uttara, Dhaka 1230",1230
amhc,Chicken Junction - Uttara,Chicken Junction,Dhaka,,Chicken|Meat|Burgers|Western|Fried Chicken,3.5,2,50.0,38.0,35.0,23.86563188,90.38395337,"sector 14,jatrabari road, pakuria,beside daraz office, uttara",1230
ad8f,Tehari & More,,Dhaka,,Rice Dishes,3.6,30,50.0,38.0,35.0,23.86540725,90.38487855,"house-06, road-22, sector 14, Uttara Dhaka",1230
l76d,LiteBites & Juices,,Dhaka,,Snacks|Beverage,3.0,15,50.0,31.0,40.0,23.876098,90.3889652,"Uttara, Sector:11, Road:17, House:22, Shop no:01.",1230
blvr,Rice Express - Uttara,,Dhaka,,Rice Dishes|Asian,0.0,0,50.0,38.0,30.0,23.86565327,90.38410456,"House - 18, Road - 23, Sector - 14, Opposite of Mizan Medical Hall, Pakuria, Jatrabari Bazar, Uttara, Dhaka - 1230",1230
xrdo,Hot & Steamy,,Dhaka,,Snacks|Rice Dishes,4.8,30,50.0,41.0,65.0,23.8647066,90.3826333,"House : Bagan Bari, Pakuria Main Road, Uttara - 14",1230
hfeb,Bunstar,,Dhaka,,Snacks|Burgers|Western,4.6,4,50.0,52.0,40.0,23.8652961,90.38918,"johura market ,Plot-15/C, (1st Floor) Sector # 14, Road 05, Uttara,Dhaka 1230",1220
ctg1,Chunkz,,Dhaka,,Fast Food,3.8,19,50.0,38.0,35.0,23.8866767,90.3881393,"Road 10, Rd 10, house 63 sector 10, road 10, house 63",1230
kjb0,Bachelor's Kitchen,,Dhaka,,Curry|Bangladeshi|Asian,0.0,0,50.0,31.0,35.0,23.8791543,90.3873466,Uttara sector 10 road 1 house 44 1st floor 1A,1230
s4so,Bon Cafe,Bon Cafe,Dhaka,,Steak|Italian|Pasta|Beverage|Mediterranean|Cafe|Soups|Dessert|Meat|Western,4.6,5,50.0,78.0,35.0,23.86128605,90.39590915,"House 34, Sector 3, Road 1, Uttara Jashimuddin Road, Dhaka",1230
vmcp,Lunch Villa - Uttara,Lunch Villa - Paltan,Dhaka,,Snacks|Rice Dishes,4.7,1,50.0,38.0,35.0,23.86559,90.3840017,"sector 14,jatrabari road, pakuria,beside daraz office, uttara",1230
n8qg,Uttara Home Biriyani House,,Dhaka,,Rice Dishes|Indian|Biryani|Asian,2.3,13,50.0,56.0,45.0,23.8564341,90.3855728,"Bawnia Road, Priyanka Runway City ,Landing Zone Restaurant & Cafe",1230
rofg,Uttara Home Kitchen,,Dhaka,,Indian|Biryani|Asian,2.1,2,50.0,56.0,45.0,23.8563,90.3856733,"City: Dhaka
Area: Dhaka Division
1230
Bawnia Road, Priyanka Runway City ,Landing Zone Restaurant & Cafe",1230
r22h,Best Home made,,Dhaka,,Cakes|Dessert,4.7,30,50.0,78.0,30.0,23.8620003,90.3962443,"Sector 03, Rd 10, house 03, 1230 উত্তরা, ঢাকা, Bangladesh, 1230 Dhaka, Bangladesh, 1230 Dhaka, Bangladesh",1230
urgf,Nobanno,,Dhaka,,Curry|Bangladeshi|Asian,3.6,18,50.0,31.0,35.0,23.8678824,90.3810836,"House#20 Road#5 Sector#12, Priyanka city, Uttara, Dhaka.",1230
wiq0,GOBBLS,,Dhaka,,Chicken|Snacks|Rice Dishes|Meat|Fast Food,3.6,27,50.0,52.0,50.0,23.8749517,90.395162,"House 49, Road 1, Sector 9, Uttora",1230
zgqg,Red Onion - Uttara,Red Onion,Dhaka,,Snacks|Curry|Italian|Pasta|Mediterranean|Noodles|Western,3.9,4,50.0,38.0,35.0,23.8655798,90.3840035,"sector 14,jatrabari road, pakuria,beside daraz office, uttara",1230
wsz1,Homestyle Beef and Rice,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,3.9,15,50.0,52.0,30.0,23.8611363,90.3890334,"মজুমদার ফাউন্ডেশন মসজিদ।, রোড-6/A সেক্টর-5 ইসরাইল মজুমদার হাই স্কুল!!, 1230 উত্তরা, ঢাকা, Bangladesh",1230
dzmu,Late Night Kitchen,,Dhaka,,Snacks,4.6,14,50.0,31.0,35.0,23.8678824,90.3810836,"House#20 Road#5 Sector#12, Priyanka city, Uttara, Dhaka.",1230
aow7,Pure Food Zone,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,9.0,0.0,23.8758547,90.3795438,"Uttara, H/F-241 Dhaka,Abdullahpur,Atipara,Rajabari,Khristan para, 1230 Uttara, Dhaka, Bangladesh",1230
v998,Tehari Ghar - Uttara Khalpar Sector 12,Tehari Ghar,Dhaka,,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,4.9,30,50.0,9.0,0.0,23.87424945,90.3797134,"Muktijoddha K.S tower, sector-12, Uttara, Dhaka",1230
q4zf,Sayra's kitchen,,Dhaka,,Rice Dishes|Fast Food,0.0,0,50.0,9.0,0.0,23.87413746,90.37857523,"Sector 12, 01/4109, 1711 Uttara, Dhaka, Bangladesh",1711
qa4k,West Lake Restaurant,,Dhaka,,Curry|Rice Dishes|Soups|Seafood,0.0,0,50.0,9.0,35.0,23.87205985,90.3798712,"Uttara-12 ,, Road No. 6C,  House -36, Sector 12, 1230 Uttara, Dhaka, Bangladesh",1230
upor,ENZO,,Dhaka,,Rice Dishes,0.0,0,50.0,15.0,0.0,23.8713904,90.380721,"Sector 12, rod 5 . 50 home, 1230 Uttara, Dhaka, Bangladesh",1230
mqko,Juice & Fuchka,,Dhaka,,Juice Corner|Snacks|Beverage|Chotpoti & Fuchka|Dessert|Bangladeshi|Doi|Asian,4.6,30,50.0,15.0,0.0,23.8729241,90.3840633,"86 Shah Makhdum Ave, Dhaka 1230",1230
uojy,Next Bite,,Dhaka,,Snacks|Rice Dishes,3.8,30,50.0,15.0,35.0,23.8703049,90.3803155,"House-55,Road-06,Sector-12,Uttara,Dhaka-1230",1230
wz8j,Pick Li,,Dhaka,,Snacks|Rice Dishes|Bangladeshi|Asian,0.0,1,50.0,19.0,0.0,23.8727258,90.3856876,"Rd 12 House 11 House 11 Road 12 sector-10, 1230 Uttara, Dhaka, Bangladesh",1230
n9ch,The Coffee Club,,Dhaka,,Beverage|Cafe,4.8,11,50.0,19.0,35.0,23.8707439,90.3841361,"House 16, Shah Makdum Avenue sector 13, 1230 Uttara, Dhaka, Bangladesh",1230
okg3,Home Flavor,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,31.0,0.0,23.8710194,90.3858473,"19 Road No. 18, House: 19 Road: 18 Sector: 13 Flat: A1, 1230 Uttara, Dhaka, Bangladesh",1230
djtz,Dhakaiya Polao,,Dhaka,,Bangladeshi|Asian,2.4,5,50.0,28.0,35.0,23.8686783,90.383228,"Dhakaiya Polao, House 2 Road 2 Sector 12, 1230 Uttara, Dhaka, Bangladesh",1230
ysod,Choi Choi,,Dhaka,,Curry|Rice Dishes,0.0,1,50.0,31.0,35.0,23.8687733,90.3843377,"Nivriti, H 90,R 19, Sector 14, Uttara, Dhaka, 1230 Uttara, Dhaka, Bangladesh",1230
ro6t,Uttara Mojammel Mamar shera Chotpoti Fuchka,,Dhaka,,Juice Corner|Beverage|Chotpoti & Fuchka|Bangladeshi|Asian,1.6,1,50.0,31.0,0.0,23.8692483,90.3857769,"\Mastermind School samna,gausul azam ave, uttara,Dhaka",5678
voss,Delifrance - Uttara,Delifrance Gulshan Avenue,Dhaka,,Cakes|Beverage|Western|Fast Food,4.7,30,50.0,28.0,0.0,23.86937295,90.38626725,"Plot – 67, Rd #5, Gausul Azam Avenue, Sector – 14, Uttara ,Dhaka, (Level 2)",1230
i0w0,Radhuni's Secret,,Dhaka,,Asian,3.6,5,50.0,37.0,0.0,23.8672609,90.3830614,"Shah Makhdum Ave 2 Sector 12 , Road 1/A , near BIT , sorkar market Gate , Uttara, 1230 Uttara, Dhaka, Bangladesh",1230
avrd,Indulge - Uttara,Indulge,Dhaka,,Dessert|Fast Food,4.9,28,50.0,34.0,0.0,23.86955765,90.38701505,"House-54, Gausul Azam Avenue, Sector 13, uttara",1230
oobv,Chowmeenia,,Dhaka,,Noodles,0.0,0,50.0,36.0,0.0,23.880242,90.388662,"Moonlit winter house, House 33,road 3,sector 10,Uttara,Dhaka, 1230 Uttara, Dhaka, Bangladesh",1230
mo3s,RamenYum - Uttara,,Dhaka,,Snacks|Beverage|Noodles,4.4,30,50.0,34.0,0.0,23.8670907,90.3837473,"Plot # 01, Shah
Mokhdhum Avenue, Sector # 14, Uttara, Dhaka- 1230. Bangladesh",1230
msny,Musafir Khana,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,33.0,0.0,23.874624,90.3690081,"Musafirkhana Hotel & Restaurant, 44 Sonargaon janopth road, diabari, Turag, 1230 Uttara, Dhaka, Bangladesh",1230
aatt,Mukta's Kitchen,,Dhaka,,Snacks|Dessert,2.6,0,50.0,37.0,0.0,23.86748075,90.3848155,"House-62, Road-13, Sec:tor-14, Uttara",1230
h2im,Hot & Spicy Pizza,,Dhaka,,Snacks|Burgers|Western,0.0,4,50.0,36.0,0.0,23.8744314,90.368581,"Dia Bari Metro Station under Pillar No 6, Uttara, Dhaka-1230",1230
pqy9,DIET PACK,,Dhaka,,Healthy,2.2,4,50.0,36.0,0.0,23.88012391,90.38956437,"Uttara Sector 10 Central Jame Mosque, Uttara 10,Road 02,house 22, anabil, 1230 Uttara, Dhaka, Bangladesh",1230
aidf,Bengal Food,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,37.0,35.0,23.8657817,90.38219562,"Bengol Food, sercot 14,Road 23,cartoon factory Uttara sector 14,Road 23,cartoon factory, 1230 Dhaka, Bangladesh",1231
hsry,House of Ramen,,Dhaka,,Japanese|Chinese|Korean|Asian|Dumpling,4.6,26,50.0,34.0,0.0,23.8789331,90.3906835,"House-21, Road - 10/A , Sector-11 , Uttara ( Opposite of meenabazar)",
z1ec,Puro Pastry & Bakery - Uttara11,Puro Pastry & Bakery - Dhaka,Dhaka,,Cakes|Dessert|Fast Food,4.9,30,50.0,34.0,0.0,23.8785502,90.39082175,"House No: 24, Ground Floor, Road No-10B, Garib-E-Newaz Avenue,Sector-11,Dhaka-1230",1230
nbb0,Kacchi & Crust,,Dhaka,,Fast Food,0.0,1,50.0,38.0,35.0,23.87575265,90.39165755,"Kacchi & Crust, Road 04, House 49,  Sector 11, 1230 Uttara, Dhaka, Bangladesh",1230
z5jl,Lobon Kitchen,,Dhaka,,Bangladeshi|Asian,4.9,30,50.0,41.0,35.0,23.8852143,90.3865989,"38, Ranavola Main Road, Uttara, Dhaka, Ranavola Main Road, 38 Number Cumilla Store House",1230
xen9,Biryani House,,Dhaka,,Snacks|Curry|Rice Dishes|Fish|Seafood|Bangladeshi|Asian,3.9,7,50.0,38.0,0.0,23.87039716,90.36759347,দিয়াবাড়ি মেইন রোড 95 HAZI MUNSUR MARKET DIYABARI MAIN ROAD (SECTOR 15) TURAG UTTARA DHAKA 1230,1230
ixh7,Ruu's The Garden Cafe,,Dhaka,,Curry|Chinese|Asian,4.4,2,50.0,38.0,35.0,23.8656174,90.3870874,"Road-11 Sector 14 Plot 50, 1230 Uttara, Dhaka, Bangladesh",1230
d8yj,Fiori Coffee and Bakery,,Dhaka,,Snacks|Beverage|Bakery,3.4,5,50.0,52.0,0.0,23.86586065,90.3922165,House 11 Road-2,1230
yjwi,Fork Wave,,Dhaka,,Snacks|Curry|Rice Dishes|Beverage|Asian,4.8,30,50.0,52.0,0.0,23.8675375,90.3942455,"Holding # 01, Vivek Heights, 1st floor, Road # 18 Rabindra Sarani, Dhaka 1230",1230
dral,Mr Food,,Dhaka,,Juice Corner|Snacks|Italian|Pasta|Beverage|Mediterranean|Burgers|Western,4.4,4,50.0,52.0,0.0,23.87341105,90.39665155,"House-18, Road-27, Sector-7, Uttara Dhaka",1230
u137,Hungry Hub Briyani,,Dhaka,,Bangladeshi|Asian,3.6,25,50.0,52.0,35.0,23.8773861,90.3968499,"Road no : 06 , Sector : 09 , Chairman market, 06/126/09, Uttara, Dhaka 1230, Dhaka",1230
vg3s,Deshi Delights,,Dhaka,,Snacks|Dessert,3.5,3,50.0,51.0,0.0,23.8904382,90.387321,"sector#10,road#15,house#15,shahanara monjil,uttora Dhaka 1230",1230
xity,Koryori Uttara - pandago,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,52.0,35.0,23.86674072,90.3942409,"54, Road-13, Koryori - Uttara Shop-6",1230
svdn,Shumi's Hot Cake - Uttara -7,Shumi's Hot Cake,Dhaka,,Cakes|Dessert|Fast Food,4.9,30,50.0,52.0,0.0,23.8743697,90.3975319,"House-21, Sector-7, Sonargaon Janapath Road, Uttara, Dhaka.",1230
g1qg,Pizza On,,Dhaka,,Italian|Mediterranean|Sandwiches|Pizza|Burgers|Western|American,2.7,9,50.0,52.0,35.0,23.87513,90.3976467,"House-29, Road 1, Floor 1, Shop 2, Sector - 9, Uttara, Dhaka - 1230",1230
qjum,Maimuna Chotpoti & Fuchka,,Dhaka,,Snacks|Chotpoti & Fuchka|Bangladeshi|Asian,1.7,3,50.0,52.0,0.0,23.8622389,90.3907452,House 38 road 5/a sector 5 Uttara Dhaka,1230
cehq,Dessert House,,Dhaka,,Snacks|Beverage|Dessert,0.0,0,50.0,52.0,0.0,23.8699734,90.3971376,"Uttara, Sector 7 Park, Sector 7 road 10 house 10, 1230 Uttara, Dhaka, Bangladesh",1230
amq0,Maa’r Hater Ranna,,Dhaka,,Snacks,0.0,1,50.0,52.0,35.0,23.8734667,90.3982427,"Shova Bilash, Sector 7 Road 32 house 8 2nd floor, 1230 Uttara, Dhaka, Bangladesh",1230
vzde,The Beef Lab,,Dhaka,,Curry|Bangladeshi|Asian,0.0,0,50.0,61.0,35.0,23.87895472,90.39997551,"Rriyanka ranway city, Road-08, House-07, flat-6A, Uttar,Dhaka-1230, Rriyanka ranway city, Road-08, House-07, flat-6A, Uttar,Dhaka-1230 Bandhan tower, 1230 Uttara, Dhaka, Bangladesh",1230
fckc,Khichuri Ghar,,Dhaka,,Rice Dishes,3.4,3,50.0,61.0,0.0,23.8746146,90.4017305,House 10/ Alawel avenue # Sector 06# uttara dhaka 1230,1230
vuto,MOMOSi,,Dhaka,,Snacks|Chinese|Asian|Dumpling,4.8,30,50.0,78.0,0.0,23.8635841,90.3989021,house 28/a road 02 sector 03 Road 28/A Road 02 Sector 03 Uttara,1230
hnhk,Creamy Creation By Alpona,,Dhaka,,Cakes|Snacks|Dessert,4.5,9,50.0,73.0,0.0,23.862207,90.360878,"⁠E-23, Road: 1 & 4, Sector-15, Uttara, Dhaka",1230
n7su,Organio Kitchen,,Dhaka,,Curry|Bangladeshi|Asian,4.7,30,50.0,83.0,0.0,23.86864298,90.40284021,"Sector: 6, Road: 13/A, House: 8, level 6, Uttara",1230
dgfc,Henshel Bari,,Dhaka,,Curry|Bangladeshi|Asian,4.3,6,50.0,83.0,0.0,23.86865588,90.40287481,"Sector: 6, Road: 13/A, House: 8, level 2, Uttara",1230
l3po,Kabita's Home Kitchen,,Dhaka,,Bangladeshi|Asian,4.5,6,50.0,83.0,0.0,23.8750022,90.4050192,"Postal Quater ,Sector 8 ,Uttara  , Dhaka -1230, 1230 Uttara, Dhaka, Bangladesh",1230
umsh,Tasty Treat-Shahjalal Avenue-Uttara-4,Tasty Treat,Dhaka,,Cakes|Dessert|Doi|Fast Food,4.9,9,50.0,83.0,0.0,23.8679674,90.4043609,"House – 36, Shahjalal Avenue, Sector – 4, Uttara, Dhaka",1230
a4a6,Rizik Biryani House,,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.2,20,50.0,83.0,0.0,23.8765733,90.4063083,"House - 328, Kadam Ali Complex, Adam Ali Market, Near Rail Gate, Matbor Bari Road, Sector 8, Uttara",1230
ctpe,Graam Cha - Uttara,Graam Cha,Dhaka,,Beverage,0.0,1,50.0,83.0,0.0,23.8604648,90.4009828,"House 11 Road 06 Sector 4, Uttara Dhaka-1230",1230
u3ax,Mithai - Joynal Market,Mithai - Dhaka,Dhaka,,Cakes|Dessert|Doi|Fast Food,4.7,27,50.0,83.0,0.0,23.873524,90.406717,"Shop No # 21, Joynal Market Road,41/1 Joynal Tower,Faidabad, Dakhsin Khan",1230
zfg5,Oitijjobahi Khabar Ghor,,Dhaka,,Curry,3.9,23,50.0,92.0,0.0,23.8598675,90.4085368,"95/1 (103) Kobor Stan Road, West Mollartek, Dakshinkhan, Dhaka- 1230, 1230 Dakshin Khan, Dhaka, Bangladesh",1230
pj0d,Tabaq Coffee - Centrepoint,Tabaq,Dhaka,,Beverage|Cafe|Sandwiches|Dessert|Western,5.0,30,50.0,93.0,0.0,23.8528481,90.40547635,"Level 5, Chefs table, Centrepoint ,Dhaka Mymensingh Highway, Kurmitola",1230
ll4k,Wok Way - Chef's Table Centrepoint,Wok Way,Dhaka,,Snacks|Noodles|Chinese|Asian,4.6,4,50.0,93.0,0.0,23.8525964,90.4061317,"Inside of Chef's Table Centrepoint near Airport, Uttara",1229
lrim,Habiba's Kitchen,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,0.0,1,50.0,92.0,0.0,23.8540538,90.4097326,"Biman Quarter,  Beside Ansar Camp, 1230 Dakshin Khan, Dhaka, Bangladesh",1230
unvg,Smokey Lane,,Dhaka,,,0.0,2,50.0,61.0,35.0,23.8615598,90.394563,"Smokey Lane, Jashimuddin Ave, 1",1230
