code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
ps12,79391,Shimu's Home Kitchen,,Dhaka,Badda,0.61,Curry|Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,0.0,0.0,23.7826477,90.4302082,"House No. 3,
Road No. 6A
Moynarbagh Bou Bazar North Badda, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/ps12/shimus-home-kitchen
i0bb,79396,Flavour King,,Dhaka,Badda,0.21,Snacks|Rice Dishes|Noodles|Burgers|Western,3.7,24,50.0,0.0,0.0,23.78139829,90.42365107,"Comilla para, Ta 125/3, 1212 Badda, Dhaka, Bangladesh",1212,https://foodpanda.com.bd/restaurant/i0bb/flavour-king
hj5c,76352,Chokka,,Dhaka,Banani,0.46,Beverage|Cafe,0.0,0,50.0,0.0,0.0,23.7915655,90.4027523,"House No-93, Road No-6, Block C, Banani., Dhaka",1213,https://foodpanda.com.bd/restaurant/hj5c/chokka
bway,64181,Galore of Seoul & Tokyo,,Dhaka,Baridhara,0.37,Sushi|Japanese|Asian,4.6,404,50.0,0.0,0.0,23.8082619,90.4186869,"Ka-24,North road, kalachadpur, Baridhara, Gulshan, Dhaka - 1212",1212,https://foodpanda.com.bd/restaurant/bway/galore-of-seoul-and-tokyo
s4ld,4753,Food Palace - Gulshan,,Dhaka,Gulshan,0.83,Rice Dishes|Beverage|Soups|Fast Food,4.6,685,50.0,0.0,0.0,23.774447,90.414669,"House No. SWF 4/A, Road No. 1, Gulshan 1 (Northern Gate of Dr. Fazle Rabbi Park & Near to Niketon Gate 1), Dhaka",1212,https://foodpanda.com.bd/restaurant/s4ld/food-palace-gulshan
yyac,93003,Nastaai,,Dhaka,Mohakhali,0.81,Snacks,0.0,0,50.0,0.0,0.0,23.7842274,90.40188079,"Casa De Sabina, Road 1/C, House 5,  Flat A7, 1213 Banani, Dhaka, Bangladesh",1213,https://foodpanda.com.bd/restaurant/yyac/nastaai
byia,77800,Foodie Bhai,,Dhaka,Banani,1.0,Snacks|Sandwiches|Burgers|Western,3.0,7,50.0,0.0,0.0,23.7921108,90.4162819,"গুলশান পিংক সিটি শপিং কমপ্লেক্স, গুলশান এভিনিউ 15 pink city shopping complex, 1229 গুলশান ২, ঢাকা, Bangladesh",1229,https://foodpanda.com.bd/restaurant/byia/foodie-bhai-byia
kjqe,76363,Twist & Taste,,Dhaka,Gulshan,0.24,Italian|Pasta|Mediterranean|Noodles|Pizza|Western|Fast Food,3.1,38,50.0,0.0,0.0,23.7813953,90.42144725,"House#11 Road-6 gudaraghat,Badda,Gulshan -1",1212,https://foodpanda.com.bd/restaurant/kjqe/twist-and-taste-kjqe
awgw,75980,Azuki,,Dhaka,Banani,0.47,Sushi|Rice Dishes|Japanese|Asian,3.0,8,50.0,0.0,0.0,23.7901025,90.4089721,"1st Floor, House 47, Road 11, Banani 1213 Dhaka",1213,https://foodpanda.com.bd/restaurant/awgw/azuki
rhz0,77957,Moveon Coffee - Dhaka,Major,Dhaka,Gulshan,0.89,Beverage|Sandwiches|Western,0.0,0,50.0,0.0,0.0,23.7885625,90.4185625,"JCI club Limited ,
Gulshan 2
House# 11/A,
Rd 113,
 Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/rhz0/moveon-coffee-dhaka
die6,77461,Cheesy Dreams,,Dhaka,Mohakhali,1.11,Italian|Mediterranean|Pizza|Western|Fast Food,0.0,0,50.0,0.0,0.0,23.7697075,90.4120245,"Harijheel, 1st Floor, GMG Mor, 5 Bir Uttam Mir Shawkat Sarak, 1208",1208,https://foodpanda.com.bd/restaurant/die6/cheesy-dreams
hf06,79002,Urban Blend,,Dhaka,Gulshan,0.87,Snacks|Curry|Rice Dishes,0.0,0,50.0,0.0,0.0,23.78837721,90.41844709,"House - 11A, Road - 113, Same Near The Coffee Bean & Tea Leaf, Gulshan - 1, Dhaka - 1212",1212,https://foodpanda.com.bd/restaurant/hf06/urban-blend
jrbf,77027,Seyam Biryani House - Mohakhali,,Dhaka,Mohakhali,0.73,Bangladeshi|Asian,3.0,25,50.0,0.0,0.0,23.7805974,90.3994525,"Bir Uttam A K Khandakar Road, Back Side of Jol Khabar Restaurant, Aaamtoli, Mohakhali, Dhaka - 1212",1212,https://foodpanda.com.bd/restaurant/jrbf/seyam-biryani-house-mohakhali
vypb,77329,Icon Restaurant,,Dhaka,Badda,0.85,Burgers|Western|Fast Food,3.7,5,50.0,0.0,0.0,23.77235265,90.4244387,"BRAC University Pocket Gate/2nd Gate, Ma-78/A MeruBadda, 1212 Badda, Dhaka, Bangladesh",1212,https://foodpanda.com.bd/restaurant/vypb/icon-restaurant
h99m,47327,Macher Jhol,,Dhaka,Mohakhali,0.87,Curry|Fish|Seafood|Bangladeshi|Asian,4.0,31,50.0,0.0,0.0,23.78454944,90.40126581,"Banani road 2, at taqwa mosque  quarter, gandharaj building, 3rd floor",1213,https://foodpanda.com.bd/restaurant/h99m/macher-jhol
idn7,75918,Savoury,,Dhaka,Banani,0.68,Snacks|Curry|Rice Dishes|Soups,5.0,19,50.0,0.0,0.0,23.7898477,90.4014502,"House - 19, Road - 07, Block - F, Same Building of CLUB 9294, Near Banani Police Station, Banani, Dhaka - 1213",1213,https://foodpanda.com.bd/restaurant/idn7/savoury
tk8o,77486,Relish and Savour,,Dhaka,Banani,0.65,Wraps|Dessert,0.0,0,50.0,0.0,0.0,23.7992791,90.4083609,"Primrose Garden,  House 4 Road 59 Appartment c1, 1212 Gulshan 2, Dhaka, Bangladesh",1212,https://foodpanda.com.bd/restaurant/tk8o/relish-and-savour
vei4,76800,Masuda's Kitchen,,Dhaka,Badda,0.49,Curry|Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,0.0,0.0,23.7794105,90.4297615,"Choddho sarani gate Jakir mollah house, 1212 Badda, Dhaka, Bangladesh",1212,https://foodpanda.com.bd/restaurant/vei4/masudas-kitchen-vei4
a7m5,78075,Hazrat Shahjalal Chotpoti And Restaurant,,Dhaka,Bashundhara,0.53,Beverage|Fast Food|Faluda,0.0,0,50.0,0.0,0.0,23.8098376,90.4202028,"K 7, Shahid Fazlul Haque Road, In front of Nabya Central Jame Mosque",1212,https://foodpanda.com.bd/restaurant/a7m5/hazrat-shahjalal-chotpoti-and-restaurant
rh7g,77469,Dreamy Creamy,,Dhaka,Baridhara,0.64,Chotpoti & Fuchka|Bangladeshi|Asian,0.0,0,50.0,0.0,0.0,23.8090371,90.4135796,1206 DOHS Bypass,1206,https://foodpanda.com.bd/restaurant/rh7g/dreamy-creamy
km6c,77578,Turn Tables,,Dhaka,Gulshan,1.39,Rice Dishes|Noodles|Chinese|Asian,1.8,7,50.0,0.0,0.0,23.7927805,90.42219,"8 Marium Road , Shahjadpur ,gulshan 2 , 1212",1212,https://foodpanda.com.bd/restaurant/km6c/turn-tables
i0m6,68507,Ice Cream Lab - Gulshan 2,Ice Cream Lab,Dhaka,Banani,0.79,Ice Cream|Snacks|Beverage|Dessert,4.6,120,50.0,0.0,20.0,23.7982319,90.4125961,"Nasrin Casabella, Plot -2A, Block - NW(H), 1st Floor, Gulshan North Avenue, Gulshan-2, Dhaka-1212",1212,https://foodpanda.com.bd/restaurant/i0m6/ice-cream-lab-gulshan-2
k1l2,65890,Lueur Bakery - Banani,Lueur Bakery,Dhaka,Banani,0.22,Cakes|Snacks,4.7,350,50.0,0.0,20.0,23.7933758,90.4087409,"Taneem square 158/e, kamal ataturk avenue,  Banani, Dhaka- 1213",1213,https://foodpanda.com.bd/restaurant/k1l2/lueur-bakery-banani
gj4p,65117,Herfy - Banani,Herfy,Dhaka,Banani,0.54,Chicken|Meat|Burgers|Western|Fast Food,4.9,5862,50.0,0.0,30.0,23.79128975,90.40195915,"Block C, Plot 52, Ground Floor, Road No. 11, Dhaka 1213",1213,https://foodpanda.com.bd/restaurant/gj4p/herfy-banani
s7zs,1078,Takeout - Banani,Takeout,Dhaka,Banani,0.11,Burgers|Western|Fast Food,4.9,22564,50.0,0.0,25.0,23.793263,90.4056625,"Abedin Tower, Plot # 35, Road # 17, Kemal Ataturk Avenue",1209,https://foodpanda.com.bd/restaurant/s7zs/takeout-banani
fjsq,51655,Waffle Up,Waffle Up,Dhaka,Banani,0.29,Dessert,5.0,6890,50.0,0.0,20.0,23.7913101,90.4077672,"house 135 Rd No-13, Dhaka 1213near to Banani Central Jame Mosjid",1213,https://foodpanda.com.bd/restaurant/fjsq/waffle-up
cfw0,67287,Galito's - Gulshan 2,Galito's,Dhaka,Baridhara,0.8,Chicken|Snacks|Meat,4.9,3384,50.0,0.0,20.0,23.8003131,90.411985,"175/A, Road: 61, Gulshan North Avenue, Gulshan 2, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/cfw0/galitos-gulshan-2
