vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
dnng,2,2.2,1,দাম অনুযায়ী কোন রকম,Oni,
kr4n,30,3.37,45,Cake was misplaced and it got messed up in the box.  Should be more careful while delivering Cake or delicate things. ,Mukter,
by30,30,4.15,55,চালটা শক্ত ছিল। সেমাই খুব মজা,Zuhd,
aid3,4,1.44,1,worst tehari ever! ৫ পিস মাংসের মধ্যে ৪ পিস খাওয়ার অযোগ্য হাড্ডি। রাইসের মানও খারাপ৷ অতিরিক্ত ঝাল৷ ,Istiak,
ni9m,30,3.68,45,good,Md,
nxwu,2,4.6,5,"they’re new i guess, they are good, they delivered fresh food. but there’s room to improve, specially need to control the oil. ",Aryan,
g4av,30,3.69,51,Amazing ,Marin,
e66g,16,4.29,34,প্যাকেজিং কোয়ালিটি এবং খাবার অসাধারণ ছিল।,Rohan,
yht1,25,3.69,43,Mega fries is worth it. The flavor options are amazing. I highly recommend the Hot & Spicy one. It’s spicy to the limit where it is pleasant and not overly done. The regular fries are good too,Uddin,
sxyb,1,5.0,3,খাবার খুবই সুস্বাদু। প্যাকেজিং ভালো ছিলো। Rcomended ❤️,Md,
yada,30,3.94,49,"forgot to add salt, food extremely dry and tasteless, free te dileo khabo na. worst chicken tenders I've evr eaten. loaded fries e 0  sauce. fake review diye 4.8 banayse, never gonna order again!!!!!",Sabah,
muh4,4,3.22,5,best fried rice in jatrabari Poriman oo best,Titu,
a6ej,1,1.0,0,"কেকটার দাম অনুযায়ী কোয়ালিটি ভালো না,আমার মনে হলো অনেক দিন আগের কেক ছিল,খেয়ে বেশ পেট ফোলা হয়ছে।",salma,
mnxb,30,2.43,26,good,Md,
pxom,29,4.44,61,"খাবার ভালো ছিলো কিন্তু ডেলিভারি সময় অনেক বেশি ১ ঘন্টা ৪০ মিনিট পর পাইছি,  খাবার এর কোন সমস্যা নাই,  ফুটপান্ডা মেনেজমেন্ট বাজে যা বলে সেশ করা যাবে না ",Noyon,
urip,30,2.92,29,Not tasty. ,Arman,
v624,30,3.23,38,good ,Sani,
dcgk,3,3.33,2,Buntq mota .. soft o nai temon,Mahtab,
x2ty,30,3.59,48,Food was excellent,Tanvir,
uojy,30,2.89,33,Very bad pizza to much price,RĀHÅTUŁ,
cin6,14,2.39,11,পৃথিবী এর সব থিকা বাজে বিরিয়ানি।টাকা কি আর জীবন এ ফ্রী পেলেও খাবো না।,Md,
wyp7,2,3.5,2,apnara ki restaurant ahh ek rokom ranna koren ar jara online order kore tader jonno arek rokom? shob gula khabar faltu chilo,Arafath,
ulxx,2,2.2,1,Faltu khabar er akta limit ache but ey faltu khabar er kono limit nai . Worst food I ever ordered. Very very salty rice . Er theka ,Mahedi,
x1af,2,2.33,2,"Didn’t follow my instructions, prawn had bad smell. Overpriced and small in size ",Lamia,
hm77,2,3.4,3,Alhamdulillah khabar ar quality ta onek valo 😋 ei Price a Ak Box khabar joss ,Zynox,
r2ts,17,3.9,30,খুব ভালো এক কথায় অসাধারণ প্যাকেজিং খাবারের প্যাকেজিং খুবই ভালো কিন্তু আইটেম আরো বেশি হলে ভালো হতো আমি মনে করি এত কম টাকায় যে ধরনের প্যাকেজিং করে দিছে তাদের খুবই ভালো এবং প্রমোট করা উচিত,mohin,
iadn,1,2.33,1,Very poor quality and chicken fry inside is black can’t eat,Suman,
v389,30,3.59,45,"Khichuri quality not worth it for the price, Meat portion was good.",Ruhinul,
du5z,30,3.34,44,Khub e baje food r quantity o etto kom,Rupali,
z9xj,26,2.75,24,Did not send what we ordered instead sent something cheaper. We did not get any cash back.,Novera,
fbwu,4,3.33,7,very much recommended the brownie tasted so good and rich in dark chocolate. fudgy and very good. ,Md,
zaex,5,1.73,1,Egg messing ,Manira,
en5k,1,5.0,3,umm,Lostec,
qqhd,7,2.47,6,wrong order,Ar,
s9lo,30,3.0,32,"মাশাআল্লাহ
খুব ভাল।",Dr,
ufck,30,3.66,49,Worst Chee ,Atiqua,
t1bc,30,2.85,30,good,Nazin,
ctg1,19,2.75,20,Sharma is 6.5/10 size is good but chicken quantity low. Lemonade 3/10 wrost packaging and full of tasteless.,Mahfuzur,
f13h,6,3.67,9,There is no salt on scramble eggs no pepper,Elizabeth,
ppms,22,3.63,34,Thei bubble tea are one of the best,Ahnaf,
wz8j,1,3.67,1,"Piyaju - 5/5 fresh and crispy. French fry - 0/5, soggy, not crispy, thrown away.",Shahriyar,
k9yn,3,3.25,5,Salt lacchi was good,tabassum,
s2ei,1,2.33,1,They did not provide cold drinks,Moury,
kgkf,14,3.29,18,Didn't deliver the food but showed as delivered.,Maisha,
h69y,12,1.83,6,"It was horrible, the service was also very bad along with the food. ",Selina,
grrt,1,5.0,3,great loved it! perfect for coffee lovers ,Afsara,
oc8u,3,3.0,3,Set menu was not good. The vegetables weee stale.,Maisha,
qz10,4,3.0,4,it was soggy ,Tasnia,
n55o,5,4.0,10,there is no spoon. ,Akihito,
u5pa,24,3.39,36,বাসি পচা ড্রাই কালো জাম দেন কেনো আপনারা। লজ্জা করেনা মানুষকে এগুলো খাওয়ান? টাকা দিয়েইতো খাই নাকি। ভেবেছেন কাস্টমারতো সামনে নেই তাই বাসি পচা মিষ্টি ডুকিয়ে দেন অর্ডার আসলে। ,John,
s6ka,30,3.16,38,"My pizzas cane fully smushed, cheese stuck in the box everywhere ",Erika,
f6a4,4,4.09,9,Vegetables were bad. Probably a day old. Not edible ,Abdullah,
hlup,4,2.2,2,Food doesn’t match the photos. I wanted mild bulgogi they sent the spicy one. The calamari is also not that great.,Azreen,
xjjt,4,2.83,6,Khabar e box er r soap er smell khub e baje .,Kaji,
qd9z,30,3.86,51,"It was good ,but told them not to make it so spicy and give less green chili but they didnt follow instruction ",Rudba,
qmef,17,3.13,23,it’s very testy,Anikaahamed,
sfnk,3,3.0,3,"ভুয়া, কেউ অর্ডার করবেন না। খুবই নিম্নমানের খাবার এদের।",Mukitur,
astx,11,2.61,9,"Breakfast combo: Tea and halua were not provided, although these items were included in the menu.",Sharmin,
rgvd,11,2.44,7,I ordered tandoori chicken sandwich and chicken pizza bun. The pizza bun was so hard and the tandoori chicken was stale and smelly. I often order from them but my today's experience was horrible.,sadia,
uq4y,10,4.22,19,"bhai era manush na, rui mach bhorta order disi, 51 taka kore duita. tara ato olpo vorta dise ja manush 2 lokma o khaite parbena, sauce er choto koutay vorta dise. 102 taka diye eta pabo asha korinai.",Farhan,
hhln,8,2.2,5,Very bad 😞 And Disappointed food service I have ever seen,Ayon,
s8lk,30,1.93,16,রাতের বেলা মানুষ একটা খাবার অর্ডার করছে আপনারা নষ্ট খাবার দিলেন কিভাবে।  আপনাদের খাবার নষ্ট হয়ে গেছে তাহলে কনফার্ম কেন  করেছেন,Bokul,
jgl7,1,3.67,1,Price too high ,Nusrat,
kpam,14,4.29,28,অতিরিক্ত লবন দেয়া। খাবার ভালো লাগেনি।,Yusuf,
ps12,3,4.0,6,খাবার অনলাইনে কিনতে নেই।টাকা দিয়ে অখাদ্য কিনছি,Zahid,
szp0,30,2.7,27,good ,Propel,
aksf,9,3.29,12,"under cooked noodles, undercooked rice. bhat mach Moja kore khaisilam. please sell those. don't sell these two item. it ruins the expression. ",Nabila,
ae6t,4,1.5,0,বেশি ভালো ছিলো না।,Orin,
mhm0,9,3.78,16,"কিছু পজিটিভ রিভিউ ইলিশ মাছ,পাবদা মাছ ও ভাত অর্ডার করছিলাম
*পাবদা মাছ পচা ছিল 
*ইলিশ মাছের তরকারি থেকে গুনে গুনে ছয়টি চুল পাওয়া গেছে 
একেবারেই খাবার অযোগ্য ডাস্টবিনে ফেলে দেয়া হয়েছে। বাটপার সেলার🤬",Sanzidul,
voss,30,2.95,33,It maintained the standard.,Jahidur,
q8jt,30,3.14,36,"Disgusting, the butter chicken is not what they advertise. The paneer is so salty ",Samaira,
dgvw,13,3.07,14,Disappointed after receive.  The fuska is below average standard. I place order after seeing the photo but really  not upto mark,Badruduza,
hwyv,1,5.0,3,"খাবারের মান অত্যন্ন ভালো ছিলো  ।  নতুন কিচেন হিসেবে আপনাদের খাবার পরিবেশন অনেক ভালো ছিলো ।  ধন্যবাদ,, ",Himika,
dlwf,7,3.94,13,"I always order from here, but today I asked for fried banana with ice cream in a separate box. They gave me the worst banana, and I couldn’t even eat it. I don’t know why they did this so disappointed",Rokshana,
zoff,3,3.29,3,তান্দুরি চিকেন কাবাব টা একটু বেশি শক্ত ছিল আর বাটার নান মোটামুটি ভালো,Md,
il9f,1,5.0,2,best tasty momo and spicy tasty chicken dumplings. Ami abr order krbo ,Asif,
tjx1,16,2.58,15,"ফ্রেঞ্চ ফ্রাই, মমো এন্ড কোল্ড কফি অর্ডার করেছিলাম, কোল্ড কফি এবং মমো মোটামুটি ছিলো বাট ফ্রেঞ্চ ফ্রাই গুলো খুবই খারাপ ছিলো, আগে ভেজে রাখা আলু ডেলিভারির আগে সেকেন্ড টাইম ভেজে দেওয়ায় খুবই শক্ত ছিলো। ",Nipon,
hsry,26,3.03,30,Miso ramen is one of my favourites from house of ramen!! I love their food! ,Memaruz,
c2bt,12,2.72,11,রাইডার কেক নষ্ট করে ফেলছে।,Saiful,
u8w5,7,3.88,12,Pizzas were really so good...worth the Money ,Iffath,
f77o,5,3.67,8,এই খাবারটা সত্যিই মন জয় করে নিয়েছে!,Ar,
wp29,1,4.0,2,কাপ দই কিভাবে ২০০ টাকা দাম হয়?,rimu,
co10,30,2.83,28,cold and very old food ,Harun,
woyi,1,5.0,2,the fish was fresh an crisp. love the cordon blue with mashed potato. but mozerella stick was cold and did not taste much.,Salma,
aais,30,3.85,56,"Bistromath truly goes above and beyond. When my favorite beef chowmein was temporarily unavailable, They sent a lovely note and complementary serving of beef keema noodles, this really made my day. Tq",Nazif,
wf9k,30,4.38,63,"Everything was great! Except for the beef Kabab shouldn’t be charged 50TK, its quite small. Other than that taste was amazing ",Armin,
hpso,30,2.62,26,Their nachos used to be really god but my this order....their nachos tasteed really werid to me😓,Rokeya,
osd6,3,2.71,3,"tel beye beye porse , sausage ar alu chilo beshi , olpo meat e tao abar bones paisi , poriman oo chilo kom ",Ahsan,
tk8o,2,3.8,3,Too salty and the chicken wrap was stale as well,Junaid,
ombs,3,2.0,2,Food Test Onk Baje vhai..🤮,Saad,
rfjk,30,3.08,37,cold burger delivered at night,Monib,
zlna,3,2.14,1,soup was cold like cold coffee,Jannatul,
t5xw,30,3.6,47,Nasi goreng is so gooodd,nazifa,
lpb8,1,5.0,3,unexpectedly the taste is too good.. worth the price....,Lubna,
tu5r,16,3.32,22,too much Chaumin  purai sada noodles chilo r meat box picchi akta box e dise tao ordhek...100tk diya khaileo pochondo hobe na 200 nise,Aysha,
usv0,30,4.29,67,quality and quantity was good enough ,KM,
mmc7,13,2.58,12,"খাবারের পরিমাণ অনেক কম ছিল দাম অনুযায়ী, প্রায় ৩০০ টাকার চাওমিন! ভেবেছিলাম দুইজন আরামসে খাওয়া যাবে, এখন দেখি একজনেরই হয় না! 🤣💔",Ammar,
t37g,3,3.5,4,"The food was terrible and cheap quality. Don’t ever suggest such a restaurant to me again. If this app can’t understand customer preferences, then it’s useless ",Abdullah,
st8b,2,1.0,0,Super oily and soggy wages. Burger bun smelt old,Rahad,
xw3d,5,3.77,9,onk valo ranna. carry on.,Mamunur,
nvlf,2,3.8,3,quantity is good but taste is average. ,Nure,
mzrg,2,4.2,3,boti kabab er jaygay chap diyechen. but taste bhalo. ,Nure,
wjxg,9,3.64,14,beef teheri te meat e chilo matro choto 4ta pcs tar modhe 2ta pura bone chilo.Morog polar was good,Sujan,
j0ax,30,3.45,42,valo,Black,
m430,1,1.0,0,eto baje.thanda ekta chotpoti diye dilen.tk ta halal kore niyen bhai.eivabe protarona kora thik na.,Nigar,
rf1a,30,4.25,56,it was really good 😊,Shahin,
oeq3,23,2.58,19,varry bad rasturant খুব খারাপ ,Kawsar,
kqtx,2,3.0,3,chicken ta theke kmn jani ekta smell aschilo naan tao eto moja chilo na,Nisha,
fyln,5,3.92,10,average ,Tahmid,
s5tn,13,3.36,19,plain nan was good but garlic nun was bad the taste of this was awfull,Wasi,
sni7,5,3.62,9,"The burger was more like kebab and bun, nothing special. Taste was ok. The price is more than it should be. Had better smashed burger than this.",Shaan,
biry,15,3.88,25,"vaiii এখন পর্যন্ত খাওয়া সব থেকে worst pizza ever, kono tast nai, pizza bread ta onk baja chilo , tk nosto khali khali, rea review, tk nosto korta caila most order,idk how people give gd review 🤮",Chanchal,
ryxs,8,3.19,13,good ,Mahe,
bk89,3,2.71,3,fresh and testy . ,Torsha,
hlhv,3,3.67,4,"Absolutely loved the Iced Matcha Latte. Perfectly balanced flavour smooth, creamy, and not too sweet. It was chilled just right and super refreshing.",Subbir,
ylvs,1,5.0,3,Quality fo the food was good. Tastes nice. Suggested for order. ,Sadik,
t5lu,30,2.67,25,Food it good but I got a hair so…,Mohammad,
nqaa,4,4.56,9,"2 tai moja, gorom gorom besi valo lage, sob somoi valo service dile always nibo In Sha Allah",Rowshon,
ztx4,24,2.38,16,অনেক বেশি ভালো অনেক,Abul,
njq7,30,2.83,32,টাকার অপচয় ছাড়া আর কিছুই না। স্বাদ মোটামুটি কিন্তু চিকেন ও চিজ সিঙ্গারার মধ্যে চিকেনের চ..ও নাই আর চিজের চি..ও নাই। 😡,Shorab,
mxn6,18,3.27,26,good but not best ,Hasan,
faak,30,2.24,22,"সাব স্যান্ডউজ অর্ডার করেছিলাম দুইটা, আমাকে দিয়েছিলো একটা। তারউপর স্যান্ডউজের উপর চুল পেয়েছিলাম। খুবই বাজে অভিজ্ঞতার স্বীকার হলাম।",Abdulla,
s1lv,30,3.96,61,"I am very disappointed with my recent order. The Oreo cheesecake delivered to me was completely spoiled, with a terrible smell and taste.",tasneem,
q2su,30,2.38,23,"পুই শাক অনেক কম,বট অনেক কম,শুধু ভাত বেশি, টেস্টের দিক থেকেও খারাপ,যদিও ভাত অনেক মুটা চাল তারপরও ভাত খাওয়া যায়,রাইডার প্রথমে ভদ্র ভাবে কথা বলেনি পরে ঠিক বলছে",Md,
q5x1,4,3.55,7,"আমার খাওয়া সবচেয়ে বাজে পিজ্জা। শক্ত লো কোয়ালিটি ক্রাস্ট, ১০"" অর্ডার দেয়া হইসিলো কিন্তু সাইজ দেখে ১০"" কোনোভাবেই মনে হয়নাই। কয়েক পিস মাংস খালি, আর পিজ্জা এর অর্ধেক - ই ক্রাস্টের লেয়ার চলে গেছে।",Mahi,
urh3,25,3.33,35,Seriously they provide the best foods with the cheapest price..Love it❤️❤️❤️,Tamim,
dtyw,1,4.33,3,fresh & homely duck bhuna could have been more reasonable still good enough ,Fabiha,
pa8u,30,3.45,46,pura bashi cake 4 din purano cake dise cake pura stone hoye gese ,Hamza,
u6gy,30,2.87,31,Quality of the food is really bad,Taskin,
x5kq,1,2.0,0,"They sent half portion of the order. After giving complain, they sent another half! Poor service and it was not fresh made either.",Kazi,
s3md,30,3.51,40,The food was delicious ,Ashraful,
gwmh,8,2.6,7,"I received beef ramen without beef, very disappointed   ",Kiana,
yqsb,25,3.23,27,"Bun was old, crusty, and stale. ",Tajwar,
sc63,12,2.33,9,ফালতু মাংস নাই লবণ নাই একদম বাজে এটা বিরিয়ানি কাতারে পরে না। কেউ অর্ডার করবেন না। সম্পূর্ণ ঠক। ফোন দিলে বলে কমিশন দেয়ার পর কিছু থাকে না তাই এমন ভাবে দেয়। unprofessional। ,Zinat,
iqqm,3,2.0,2,"খাবারের সাধ ভাল, প্রাইজ অনুযায়ী লেগ পিস সাইজ ঠিক আছে, তবে রাইসের পরিমানটা আরেকটু দিলে ভাল হতো, প্রয়োজনে ১৩০৳ রাখুক সমস্যা নেই।আর অর্ডারের সময় আমি ওয়ানটাইম চামিচ চেয়ে ইন্সট্রাকশন ক্লিক করেছিলাম দেইনি।",Md,
q1vb,30,2.97,36,"When I first ordered, they provided me nice portions of mixed salad but then I ordered two more times but it was not as good.",Marjana,
q6sr,2,1.4,0,not at all tasty.. terrible shawarma,Tasneem,
f817,30,3.16,38,"সেট মেনু অর্ডার দিয়েছিলাম। থাই ফ্রাইড চিকেন ছিলো। কিন্তু চিকেন গুলো জাস্ট কাচা মাংস বেসন দিয়ে ভেজে দিছে। কোনো মশলা এমনকি লবনও নাই। রাইস, ভেজিটেবলসও টেস্টলেস একদম। এমন ফালতু খাবার কখনও খাই নাই৷",Sonia,
n78u,1,5.0,2,Good but only 4 pcs,Wesley,
onox,30,4.13,58,vat ta kacha chilo🙂,Zannatul,
hlp2,17,3.05,21,Faltuuuu thuuu,Mh,
ll4k,4,2.67,4,food is okay but quantity is so little than dine in,Fairuz,
q7un,30,4.2,56,Good ,Farhana,
d3jh,3,1.75,1,"The meatbox didn’t taste good, needs improvement.",মোহাম্মদ,
wotg,1,5.0,3,Pizza was Tasty,farhan,
hizq,26,3.24,34,"Today, i first time ordered from this restaurant but the experience was bad. Because i ordered egg korma and plain rice. But they have given me egg bhorta insist of egg korma. Which is very bad.",Puspita,
nuhb,16,2.95,20,Worst possible way of getting people robbed ,Samsil,
k161,20,3.47,27,"Driver dropped the food, all the sauce was spilled from the box. Unacceptable disgusting service. I have waisted all my money. This was supposed to be a special dinner and a surprise for my family",Sahrear,
e2yz,30,4.21,60,burger was awful but the buffalo wings was really good,Tasnim,
ilwv,1,5.0,2,Bad food,Monalisa,
hua8,10,2.55,7,আলহামদুলিল্লাহ ❤️,Taspia,
i2lo,1,5.0,2,"Everything was good and the behaviour of the rider was also Well.. Thanks for the service , Just one issue was noticable.. In the app it was mentioned that we will get 6 piece lolipop but we got 5.",Tasin,
injz,10,3.62,18,above Average ,M.,
s1id,30,2.97,37,Taste pizza ,Arin,
ugut,25,3.72,40,sub sandwich এর এই প্রাইস এর সাথেও এরকম খাবার যায় না। meat quantity খুবই খারাপ।,Md.,
hdyj,3,4.56,7,Loved the sandwich!,Suhas,
s9rc,30,2.84,29,There was a little sharp piece of a straw inside the drink,Jessika,
ih8y,13,3.11,19,good taste but one item was missing. got refund instantly though.,Prithibi,
iwqk,12,2.79,12,"বাংলাদেশের মধ্যে যদি সব থেকে নিম্ন খাবার থাকে সেটা হচ্ছে এই খাবার,,, একদম বাজে নষ্ট খাবার সবাই এই পেজের কোন খাবারকে অর্ডার করবেন না কোনদিন,,, দুইটা চিকেন বিরিয়ানি আর টিকে অর্ডার করছিলাম একদম নষ্ট,,",Nabin,
id52,30,3.19,36,The quantity of special mutton tehri can be increased a little.,Mohammad,
ap0c,8,2.78,8,didn’t get alu egg curry,Al,
rhcp,10,2.83,11,ekdom bajee🤮,niaz,
oac0,15,3.49,23,"sweet corn taste like it's outdated, mango blast tast wasn't good either.",Mahim,
sjpg,11,4.17,20,এরকম ফালতু patties আমি জীবনে খাই নাই। পুরা পুরা ভিতরের জিনিস কোনরকম মাংস নাই একদমই নাই এবং শক্ত,Md.Sayeed,
t4y0,30,3.39,38,Pretty good.,Showeb,
s0wg,30,3.73,54,Too over smart and does not follow instructions. Not upto the mark of professionalism. ,Samin,
w76u,2,2.0,0,Worst quantity in that price range,Mahedi,
u003,4,2.0,2,Worst soup & wonton ever I had . ,Sayeed,
jjqb,30,3.48,47,Alhamdulillah,Masud,
qpls,1,1.0,0,the meat box is totally dispointed.. chicken balls ar too much salty.. and their service is to slow😑😑😑 ,Rafi,
hilx,26,3.55,37,some chicken pieces were burnt,Halima,
v6u9,1,2.33,1,disgusting taste ,Saddam,
zvz5,1,5.0,2,Food was very fresh and Delicious.The rice was very good. Highly Recommend.,Rony,
l76d,15,3.16,20,ভালো ,DIPONGKAR,
fk7e,16,3.19,24,Worst.,Yeasar,
amq0,1,5.0,2,Awesome food ,Aman,
b321,30,3.11,35,All the foods was ice cold and the burger ban was So hard i cant even eat the food properly 🙂,Samiya,
d4bd,20,2.7,22,Too salty. 1 item given wrong.,Saihad,
v59e,1,2.0,0,very less quantity ,Sneha,
r3n8,17,3.76,23,Sorry to say ami amr life a etto baje rice bowl khaini r buffalo chicken test average not good but chicken wrap is too good,Payel,
ehss,3,2.0,2,Just throw the money .🤑🤑,Yeasmin,
xrw0,13,2.24,9,Horrible food. Stomach got bad,safaat,
wteu,30,3.16,38,Taco was extremely good!  Anyone need to try it!,Fahmida,
f4tf,14,2.88,13,They sent me cold kolija shingara. It's not expected. ,Abida,
vjj5,30,3.31,37,I got 1 chicken only.,Zubaer,
pyic,30,3.41,46,very less meat ,Swara,
a4a6,20,3.0,22,taste valo silo,Eshita,
ypc9,1,3.0,1,did not meet expectations. not recommended ,Tarikul,
r3yu,1,3.0,1,test valo but noodles shitto beshi korse shobji noodles e shobji pai nai ,noman,
f8kg,9,3.8,14,"One of the best cake experiences I’ve had on Foodpanda!
The cake was super soft, fresh, and perfectly balanced in sweetness.
Packaging was neat and delivery was on time.
Definitely ordering again!",Moon,
ffeq,30,2.49,22,I order Nan and butter chicken and dal makhni ,Ataul,
ysod,1,3.0,1,the size of chicken piece is so small.,Tanmoy,
osdj,30,2.42,25,it was amazing amd delicious perfectly cooked ,ashish,
dno1,30,3.36,40,The Pizza wasn't good enough. You can improve ,Nabil,
hgsm,30,2.9,32,অনেকদিন পরে এমন মজার আলুভর্তা পেলাম।,Progga,
wcgi,5,3.18,5,i ordered mocha they gave iced caramel latte,Bushra,
f9nd,2,3.4,3,Not very good Not very Bad,Rafia,
o0zb,8,3.09,10,টাউট কলিজা সিঙ্গারা নিছি কলিজার ছিটাফুটা নাই।৫ টাকার সিঙ্গারা ২৫ টাকার নিছে,Sabbir,
x48o,30,2.61,31, Beef nori taco tA etttoooo baje chilo. Pura burnt.. onion diye bhora .. beef 1-2 keema r tukra! Waste of money! ,Sadia,
lcr5,1,5.0,3,Great food within budget. Great packaging. They used a lot of vegetables on their plain khichuri. I ordered for my employees and everyone likes it. ,Mr,
o4qm,30,3.83,55,Always best.,Jisaimanur,
x1rc,30,2.76,31,Good,Jahidul,
xioq,30,3.32,41,Nice,Laden,
kugd,9,3.61,15,Cake ta ekdom baje chilo tok hoye gesilo. Brithday surprise er jnno order kora hoisilo. Unar nosto cake diyese mukhe dile tok tok test cilo disappointed �,Nowshin,
oc63,22,2.69,20,Except one all fuchka bhorta boxes were rotten and smelly.,Melani,
uxqn,1,1.0,0,Most disgusting. Scam.,Sakib,
qr7f,10,2.19,7,"too much mayo, the fries were salty, chicken wasnt seasoned properly.",Abrar,
pso3,2,1.0,0,apnara nijera khan esob chessy pasta bole sudhu shiddho pasta diya rakhsen momor name atar dola diye dise kew kinben na ekhan theke ,Mahia,
gjn6,30,3.29,37,বাশি কেকে পাঠিয়েছে। আর অরডার করবোনা।,Israt,
moxt,30,2.84,27,"Its good, why you discontinued this item? ",Irfat,
dy7q,12,2.79,12,motka meat box er quantity onk kom...  aro besi expect korsilm  burger was good,Jannatus,
boy5,2,3.0,3,Should provide a chutney or dip with paratha and dosa,Nawshiba,
qtvr,4,2.27,3,Worse meat box ever! Not RECOMMEND! Found hair too,Raihana,
b9ao,6,2.2,3,Bad food quality ,Imran,
zq0v,30,3.11,35,This experience has made me decide not to order again,sm,
c55f,30,3.03,37,এই হোটেল খাবার খুব বাজে. আমি গতকাল রাত ১০ টা  সময় খাবার অর্ডার করি কম্বো বি প্যাকেজ ২০৬ টাকা ৩ টা অর্ডার করি বাসি তেহারি সাথে হালকা গাজর মিক্স করে গরম করে দিছে আর মুরগী মাংস পূরা বাজে অর্ডার করবেন না,Kamrul,
yw73,1,3.67,1,"i ordered 1 set of roti and alu vaji, 1 sajbi and 1 extra roti. but they didn't have that alu vaji set available, which was updated so late. then i got 1 vaji and one single roti. 3 star for taste. ",Bristi,
ak4k,4,2.25,2,"Food was not that tasty . Fuchka ta onk tor chilo khawa jai ni . Ekdom valo na, taka noshto holo . Noodles Tao not that tasty today . It should be more tasty . Shbr tok jinish valo lage na .",Afsara,
dbbo,2,5.0,4,"lots of toppings,  good taste",Jarin,
i8wp,4,5.0,11,wow,sapon,
p11p,30,3.4,42,wrong order delivered.  they gave plain nun,Sumaia,
fmgj,12,2.47,11,dont order.  food ingredient quality really bad,Dewan,
lrim,1,2.33,1,didnt get any kind of salad .. and there was no gravy with polaw rice and roast,Tasdid,
wc0k,5,1.92,3,The food test was very bad.,Md,
avrd,28,3.06,31,tea missing in breakfast but item says including tea,Tanzirul,
p8x8,30,4.14,59,"the taste wasn't that good, very average. ",Tahsina,
haye,2,5.0,4,beef ta best chilo.  quantity o vlo chilo,kayes,
xen9,7,2.38,5,rice ta aro cook korte hobe ekdom e boil hoy nai chal chal lagse khete,Jannatul,
uagz,1,4.33,3,সব গুলো খাবারই ভালো ছিল।,Nahiyan,
nxv6,5,3.29,7,Crab was not fresh.,Israfil,
l3po,6,4.41,16,Always love your food,Avirupa,
ksjr,17,2.47,12,poor quality ,Serapis,
dtc3,30,2.84,30,একেবারেই বাজে টেস্ট ছি: আমার বউ খেয়ে অসুস্থ হয়ে গেছে। আপনাদের নামে ভোক্তা অধিকারে মামলা দেয়া দরকার। ,Rizvi,
kmts,30,3.97,49,"8/10, beef was a little overcooked taste 9/10. good sauce. but sauce needs more texture",Shadman,
fqsq,15,3.45,25,Foods were tasty and packaging was extremely good.,Shabnam,
rmlv,2,3.0,3,Ruti ta ektu beshi hard other wise everything good,Rakin,
v0zm,29,3.55,46,not good ,Shakil,
act6,1,5.0,3,Sob er poriman baraite hobe,S,
pfk6,1,5.0,3,Koel Curry – A Flavor Explosion in Every Bite ,Tanvir,
eg9y,12,2.7,11,Very poor packaging…food is look like hotel food …very bad quality & experience ,MD,
n3b7,30,1.78,10,good test,Fatema,
llyc,14,2.42,7,"আমি মিটি বাইটের রেগুলার কাস্টমার, ওদের রেগুলার মিট বক্স প্রায়ই খাই। কিন্তু এবার খেয়ে খুবই ডিসাপয়েন্টেড। শুধু আলু দিয়ে ভরায়ে রাখছে। মাংস যাও ছিল সেগুলোও বেশি ভাজা, কিছুটা তিতা লেগেছে। আগের মতো টেস্ট নে",ruhe,
ioqr,30,3.79,46,they dont deliver on time. but thats not the main issue. main issue is they give wrong information regarding the delivery. absolute chaos. ,Farhad,
fdf4,30,3.24,37,"১০০ টাকার ৯ পিস পাউরুটি,সমোসা বাশি পঁচা Not Worth it to spend here",Fahmida,
bsfh,2,3.0,3,i clearly wrote no nuts.do they even check the order properly????,Fahmida,
vtwe,5,3.57,6,Shawarma Bhalo Chilo kintu Momota kemon jeno Tok tok chilo and halka smell chilo bhetorer chicken ta. ,Alif,
nt30,22,3.76,39,Gravy chicken momo oshadharon khaite.,Zisan,
q3zy,4,1.73,2,বাজে জুস পরিমাণে কম দেয় বক্সের ভিতরে তারপরে হচ্ছে অর্ডার একটা দিলে পাঠায় আর একটা তারপরে হচ্ছে মধ্যে কোন বরফ না কিছু না ঠান্ডা পানি না নরম পানি দিয়ে বানাতে খুবই,Maimon,
jee5,11,3.67,18,"Don't match picture, pasta sweet like dessert",Azizul,
ft5k,30,2.32,21,ফুড রেডি করে দিতে অনেক সময় নেয়।রাইস এর কোয়ানটিটি কম খাবার এ লবন বেশি। ,Farjana,
kdop,30,2.67,22,Healthy Food. Good taste.,Muhammad,
o092,27,3.29,35,very bad taste.. and too much expensive compare to quality and quantity... ,Tanvir,
fw78,10,2.93,12,dry,Rokhsana,
qrac,6,3.0,8,The portion was not even one person serving  size.,Nabiha,
wf55,30,3.87,47,tandoori chicken wasn’t good. other than that everything was ok,Anika,
oyjb,24,3.24,30,all items were very good. ,Sohag,
ql01,1,5.0,2,Loved the beef pastrami sandwich. ,Yamen,
ub3c,8,3.0,9,"very poor service, I ordered 2 of their large classic meatboxes but the quantity was very small. They should name it potato box because I only got a few pieces of meat.",Adia,
ipay,3,3.75,4,Good,Arup,
