code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
t8xf,9578,Dulabhai Hotel,,Khulna,Shibbari,1.84,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,3.9,2847,50.0,0.0,35.0,22.810046,89.56080765,"7 No. Islampur Road, Sat Rastar Mor",9100,https://foodpanda.com.bd/restaurant/t8xf/dulabhai-hotel
t1ea,6949,Dulabhai Hotel-Shatrasta,,Khulna,Shibbari,1.85,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,3.7,2788,50.0,0.0,35.0,22.80994228,89.56076244,"7 no islampur road, sat rastar more, khulna",9100,https://foodpanda.com.bd/restaurant/t1ea/dulabhai-hotel-shatrasta
ztie,78273,JK Fry Station,,Khulna,Shibbari,1.79,Chicken|Snacks|Meat|Fast Food|Fried Chicken,0.0,0,50.0,0.0,35.0,22.8129436,89.5662696,"159/1, 159/1, Haji Ismail Road, 9100 Khulna Sadar, Khulna, Bangladesh",9100,https://foodpanda.com.bd/restaurant/ztie/jk-fry-station
a2ko,76875,Q Q Bubbles,,Khulna,Shibbari,2.01,Ice Cream|Juice Corner|Rice Dishes|Beverage|Dessert|Burgers|Western|Doi|Asian|Faluda,4.5,228,50.0,0.0,35.0,22.8107082,89.56639806,"17 Ahsan Ahmed Road, Opposite of Coronation School, PTI, Sadar, Khulna",9100,https://foodpanda.com.bd/restaurant/a2ko/q-q-bubbles
k76r,78107,Deshi Bite,,Khulna,Sonadanga,2.23,Curry|Rice Dishes|Bangladeshi|Doi|Asian,2.4,17,50.0,0.0,35.0,22.80303554,89.53834432,"Hall Road, Infront of KBAH Hall Pocket Gate, Khulna University, Khulna",9000,https://foodpanda.com.bd/restaurant/k76r/deshi-bite-k76r
h1xr,26448,Chef De Dolce-South Central,Chef De Dolce-South Central,Khulna,Shibbari,2.03,Cakes,4.8,1061,50.0,0.0,35.0,22.8111038,89.5674324,"93, South Central Rd, Khulna 9100",9100,https://foodpanda.com.bd/restaurant/h1xr/chef-de-dolce-south-central
u6yc,14440,Makka Biryani Ghor,Makka Biryani Ghor,Khulna,Sonadanga,2.37,Curry|Rice Dishes|Indian|Biryani|Bangladeshi|Asian,2.5,1174,50.0,0.0,35.0,22.8036611,89.5497806,"Bania khamar Kader khan road , Poshcim Bania khamar Darur Rahmat Jame Moshjid er poshcim pasher bamer goli Khulna, Bangladesh Asia",9100,https://foodpanda.com.bd/restaurant/u6yc/makka-biryani-ghor
t4xz,11416,Ghorowa Biryani House - Khulna,Ghorowa Biryani House - Khulna,Khulna,Sonadanga,2.37,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,1.6,853,50.0,0.0,35.0,22.80365865,89.5497815,"Poshcim Bania khamar Kader khan road,  Poshcim Bania khamar Darur Rahmat Jame Moshjid er poshcim pasher bamer goli Khulna, Bangladesh Asia",9100,https://foodpanda.com.bd/restaurant/t4xz/ghorowa-biryani-house-khulna
fa7p,75610,CP five star - Ahsan Ahmed RD,CP Five Star,Khulna,Shibbari,2.11,Chicken|Snacks|Meat|Fast Food|Fried Chicken,4.6,395,50.0,0.0,35.0,22.80962785,89.566349,"20, Ahsan Ahmed Road,",9100,https://foodpanda.com.bd/restaurant/fa7p/cp-five-star-ahsan-ahmed-rd
h7jj,95674,Afraz Food Fest,,Khulna,Shibbari,2.37,Snacks|Rice Dishes|Dessert|Bangladeshi|Asian,4.8,93,50.0,0.0,35.0,22.80468937,89.55599269,"Zahidur Rahman Sharok, Nirala, Sadar, Khulna",9100,https://foodpanda.com.bd/restaurant/h7jj/afraz-food-fest
z3m9,113579,Blue Zone CT,,Khulna,Shibbari,2.37,Middle Eastern|Shawarma|Chinese|Asian|Fast Food,3.1,61,50.0,0.0,35.0,22.8046894,89.5564974,"Hazi barir more,Zahidur rahman road,nirala,khulna",9200,https://foodpanda.com.bd/restaurant/z3m9/blue-zone-ct
ggzc,94890,Top Ten Food,,Khulna,Shibbari,2.37,Curry|Rice Dishes|Seafood|Bangladeshi|Asian,3.7,200,50.0,0.0,35.0,22.8046894,89.5564974,"Zahidur Rahman Sorok, Sadar, Khulna",9100,https://foodpanda.com.bd/restaurant/ggzc/top-ten-food
vrfx,78108,Vojon Bari Khulna,,Khulna,Shibbari,2.37,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,4.1,356,50.0,0.0,35.0,22.8046894,89.5564974,"Hazi barir more, Zahidur rahman road, nirala, khulna (Beside Top Ten Food)",9200,https://foodpanda.com.bd/restaurant/vrfx/vojon-bari-khulna
cu27,66012,Road Home BBQ & Kabab House,Shorishay Tehari,Khulna,Shibbari,2.24,Turkish|Kebab|Middle Eastern|Fast Food,3.3,1438,50.0,0.0,35.0,22.80819859,89.56627372,"Beside PTI More, 33/1 Ahsan Ahmed road, Khulna",9100,https://foodpanda.com.bd/restaurant/cu27/road-home-bbq-and-kabab-house
yalh,57402,Road Home Chinese and Restaurant,Road Home Chinese and Restaurant,Khulna,Shibbari,2.24,Snacks|Rice Dishes|Chinese|Asian,4.0,3646,50.0,0.0,35.0,22.80818755,89.56626605,"Beside PTI More, 33/1 Ahsan Ahmed road, Khulna",9100,https://foodpanda.com.bd/restaurant/yalh/road-home-chinese-and-restaurant
t9ln,8989,Wimpy's,Wimpy's,Khulna,Shibbari,2.31,Sandwiches|Burgers|Western|Fast Food,3.5,1187,50.0,0.0,35.0,22.8078486,89.56690306,"Khan jahan ali rood sultana hamida school, Khulna 9100, Bangladesh",9201,https://foodpanda.com.bd/restaurant/t9ln/wimpys
t9oi,9295,Shatkhira Ghosh Dairy-Nirala,Shatkhira Ghosh Dairy-Nirala,Khulna,Shibbari,2.62,Dessert|Doi,3.9,1501,50.0,0.0,35.0,22.802462,89.554419,"272, Sher-E-Bangla Road, Nirala Morh",9100,https://foodpanda.com.bd/restaurant/t9oi/shatkhira-ghosh-dairy-nirala
idor,125300,Ghoroa Rannar Shad,,Khulna,Shibbari,2.49,Bangladeshi|Asian,4.9,30,50.0,0.0,35.0,22.8116028,89.57460995,"9100 Khulna Sadar, Khulna, Bangladesh",9100,https://foodpanda.com.bd/restaurant/idor/ghoroa-rannar-shad
tzb9,82994,Apu's Rannaghor,,Khulna,Sonadanga,2.97,Snacks,0.0,0,50.0,0.0,35.0,22.7985546,89.5515937,"Prantika-1/4 No House, Nirala R/A, 9100 Khulna Sadar, Khulna, Bangladesh.",9100,https://foodpanda.com.bd/restaurant/tzb9/apus-rannaghor
llql,54605,Secret Oven,Secret Oven,Khulna,Shibbari,2.71,Italian|Mediterranean|Pizza|Burgers|Western|Fast Food,3.5,844,50.0,0.0,35.0,22.80696198,89.57245085,"Beside Noor e Mohammadia Jame Masjid, TB Cross Road, Khulna",9000,https://foodpanda.com.bd/restaurant/llql/secret-oven-llql
dk6z,42543,Salman's Burger & Pizza Shop,,Khulna,Shibbari,2.71,Italian|Mediterranean|Pizza|Burgers|Western|Fast Food,3.0,1620,50.0,0.0,35.0,22.80695977,89.57245153,"34 T.B. Cross Road. Opposite of Noor e Mohammadia Jame Masjid, Khulna.",9100,https://foodpanda.com.bd/restaurant/dk6z/salmans-burger-and-pizza-shop
qmx7,63407,Pizzaland,,Khulna,Shibbari,2.71,Italian|Mediterranean|Pizza|Western,2.8,169,50.0,0.0,35.0,22.8069086,89.5724464,"34 T.B. Cross Road. Opposite of Noor e Mohammadia Jame Masjid, Khulna.",9100,https://foodpanda.com.bd/restaurant/qmx7/pizzaland-qmx7
z4hu,26674,Fizan's Burger Shop,Fizan's Burger Shop,Khulna,Shibbari,3.0,Snacks|Burgers|Western|Fast Food,2.7,389,50.0,0.0,35.0,22.8033452,89.5718848,"Holding Number 30/3, Sarkar para , Khulna.",9100,https://foodpanda.com.bd/restaurant/z4hu/fizans-burger-shop
t8tp,12960,Panna's Burger Shop,Panna's Burger Shop,Khulna,Shibbari,3.0,Italian|Pasta|Mediterranean|Pizza|Burgers|Western,2.3,805,50.0,0.0,35.0,22.80333906,89.57192305,"Holding 30/3,Sarkar para,Khulna",9100,https://foodpanda.com.bd/restaurant/t8tp/pannas-burger-shop
