vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
t9oi,30,3.18,40,roshomali likhe 500g dise 300g doi er pic dewa mati r cup e boro cup e dise plastic er choto cup e overall test valo chilo but quantity jamon likha tamon day nai  raider vaiya ta valo chilo,Poranpakhi,
qv6v,4,5.0,12,very testy 🥰🤤,Miss,
u6yc,30,2.61,26,"full morog polaw niasilam dui packet a diasilo but sob e chilo sukna ar taste o different, ",shough,
bywd,30,3.88,54,burger bun onk soggy chilo.. Burger onk average chilo .. fish tots niye expection chilo cuz eita age try kora hoiselo bt bassay jeyta desay sogy......,Labiba,
vaz7,7,2.89,8,Soup quality Not worth it…taste o Ekdom faltu,Jannatul,
l1cq,30,2.51,24,👌👌,Shahriar,
en25,2,1.8,1,ranna khub kharab hoicha Khali testy salt voira dawa ar Kono saad o nai,msashikmedical,
h1xr,30,3.82,52,দাম অনুযায়ী কেক এর সাইজ এন্ড টেস্ট অনেক খারাপ। সেন্টমার্টিন কেক পপুলার দেখে নিসিলাম। এইটার কোনো টেস্টই নাই। খুবই বাজে এক্সপেরিন্স।,Ashik,
o89g,30,2.83,28,ato kharp briyani khaini age kokhono,Tarin,
q58b,2,3.0,1,"ছবিতে দিয়েছে বড়ো বড়ো চিংড়ি, আর বাস্তবে দিয়েছে ছোট ছোট ঘুসো চিংড়ি!! তবে টেস্ট মোটামুটি ভালোই ছিল।",M.,
idor,6,3.53,7,ewww,MD,
s0i2,1,1.0,0,vanilla flavour er ekta pestry nichilam. cream ta tok tok lagche. ar payment age kore dile order er proti gurutto thakena? ,Fariha,
