code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
f6f8,77591,Cumuk,,Rajshahi,Rajshahi Sadar,1.15,Snacks,2.8,7,50.0,0.0,35.0,24.3759278,88.592918,"Bornali road, oppsite of Visha office,  Rajshahi, Bangladesh",6000,https://foodpanda.com.bd/restaurant/f6f8/cumuk
n63z,95568,Siam Kitchen,,Rajshahi,Rajshahi Sadar,1.74,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.3662664,88.5895731,"Rajshahi, Holding no 29, 6000 Zero Point, Rajshahi, Bangladesh",6000,https://foodpanda.com.bd/restaurant/n63z/siam-kitchen-n63z
wngq,83098,Refreshing Vibes,,Rajshahi,Rajshahi Sadar,2.22,Juice Corner|Beverage,0.0,0,50.0,0.0,35.0,24.3714187,88.5824993,"Laxmipur Mor,Beside Mintu Chottor,Rajshahi, Laxmipur Mor,Old Bongobondhu Chottor, In front of Tarek Confectionary,Rajshahi, Rajshahi 6000",6000,https://foodpanda.com.bd/restaurant/wngq/refreshing-vibes
uvwc,100695,HomeTaste Meal Service,,Rajshahi,Rajshahi Sadar,3.82,Curry|Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.40862756,88.60021408,"Nawdapara Truck Terminal, Rajshahi, City Haat Road, Rajshahi, 6203 Aamchattar, Rajshahi, Bangladesh",6203,https://foodpanda.com.bd/restaurant/uvwc/hometaste-meal-service
d4cv,78535,Aurelia,,Rajshahi,Rajshahi Sadar,4.58,Snacks|Rice Dishes|Asian|Fast Food,0.0,0,50.0,0.0,35.0,24.3752828,88.5590249,"08/01 lucky mansion
Horogram Rajshahi 
 (Rajshahi hi-tech park er opposite er dhalur 2nd goli)",6000,https://foodpanda.com.bd/restaurant/d4cv/aurelia
w9lm,128685,AuraSpresso,,Rajshahi,Rajshahi Sadar,0.97,,4.8,6,50.0,0.0,35.0,24.366903,88.5995218,"1st Floor, Opposite of T&T Office, Batar More, Boalia, Rajshahi., Rajshai 6202",6202,https://foodpanda.com.bd/restaurant/w9lm
qlbf,78498,Student Corner-Khabar Hotel,,Rajshahi,Rajshahi Sadar,2.52,Snacks|Curry,0.0,0,50.0,0.0,35.0,24.366187,88.62738375,"Rajshahi University of Engineering & Technology(RUET), Station Rd Rajshahi University of Engineering and Technology ( Ruet ), 6206 Rajshahi University, Rajshahi, Bangladesh",6206,https://foodpanda.com.bd/restaurant/qlbf/student-corner-khabar-hotel
sf9m,124459,Asiya Desi Feast,,Rajshahi,Rajshahi Sadar,2.12,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.36772188,88.62373674,"ইসলামপুর ,দেবিশিংপাড়া,বোয়ালিয়া, দেবিসিংপাড়া ,কাজলা,বায়তুর রহমান জামে মসজিদের সামনে, 6000 জিরো পয়েন্ট, রাজশাহী, Bangladesh",6000,https://foodpanda.com.bd/restaurant/sf9m/asiya-desi-feast
wpdk,78112,New Khichuri Bari,,Rajshahi,Rajshahi Sadar,3.12,Curry|Rice Dishes|Dessert,2.8,56,50.0,0.0,35.0,24.3620727,88.631783,"Oktor More (Jamrultola),Kalza,Motihar,Rajshahi",6000,https://foodpanda.com.bd/restaurant/wpdk/new-khichuri-bari
ex5w,77209,Kacchi Dine - Rajshahi,Kacchi Dine,Rajshahi,Rajshahi Sadar,1.84,Curry|Rice Dishes|Indian|Biryani|Bangladeshi|Asian,4.3,35,50.0,0.0,35.0,24.3749375,88.6223281,"249, Bhadra Moor, Rajshahi",6000,https://foodpanda.com.bd/restaurant/ex5w/kacchi-dine-rajshahi
